,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,1.0000000000000056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.31972656644969244,1.0000000000000067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.37035964918369557,0.46499127706361093,1.0000000000000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.245321908200157,0.2267686519814631,0.28358219124301604,0.9999999999999963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.3336113592356527,0.38869998436443787,0.2862567123019336,0.13113444640307825,0.9999999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.277395257829292,0.3291375640315767,0.32313689882583096,0.3162469450305634,0.15880709840573703,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.30382259802857836,0.4061369963684796,0.4935321370799315,0.38331033606398723,0.238461771098807,0.28229423656768143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.1946784520507432,0.30595536220952757,0.259538184778714,0.22561146727123219,0.4446907741363514,0.3244136216503696,0.2844393399276641,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.24862595323503783,0.3439588990368508,0.2659679557126129,0.3303788045893106,0.2471287617205185,0.2822534126593784,0.2562087583436783,0.20508773439238176,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.2596957727436619,0.3256801668573223,0.4943085859127641,0.34661205650995275,0.27128988406710414,0.39383966162366046,0.395487625065385,0.23183754578771806,0.2907737408145281,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
Frontliners,0.1773333797713925,0.25852030139888543,0.22116669463124186,0.265853765689353,0.087744584122683,0.33915422910496196,0.336111247189129,0.16441168979881465,0.21533245907072307,0.33511078218159285,0.9999999999999988,0.0,0.0,0.0,0.0
masks,0.2154937038064941,0.20916842231966667,0.22911943436241905,0.27873565304990494,0.12121601327463481,0.3218659191892549,0.28517343545708745,0.1406341827838963,0.32984650827767475,0.48409593409902507,0.3240304054735364,1.0000000000000007,0.0,0.0,0.0
Quarantine,0.30072896383466413,0.3483188170224202,0.38445182019935686,0.3174704545434834,0.34633861553903883,0.33879363495741555,0.36494705634044833,0.24451760972581849,0.5402913280892584,0.48167433497581885,0.24407316721387168,0.3390002966794097,0.9999999999999989,0.0,0.0
social distancing,0.2742955854645934,0.13949775334328693,0.2856680733834733,0.20670744686142517,0.18078264918107886,0.21316842377894774,0.3488009984495826,0.17091577933270094,0.19451488647356116,0.5102002324391096,0.5677801048201062,0.2275833429810275,0.3724984427485465,0.9999999999999994,0.0
work from home,0.27532954767625495,0.21535655588792033,0.2505386833376005,0.4490049941193842,0.3743663534632244,0.2441834682110238,0.32985557156508144,0.3882812475136656,0.20291943515342725,0.40701474325365916,0.46311965159983093,0.28069777245468513,0.3192913312073216,0.35572898903741645,1.0
