,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face shield,Frontliners,masks,Quarantine,social distancing,work from home
flu,0.9999999999999961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cough,0.40622312400088356,0.9999999999999875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fever,0.5446255264779539,0.4353856150847647,0.9999999999999967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headache,0.4118175660630853,0.3901590830385697,0.3191257436392353,0.999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagnat,0.26689160857014665,0.28727962944863555,0.20670645265771376,0.21817788347237616,0.9999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rashes,0.6947820977622143,0.4830970213795933,0.7221375514143259,0.33334123677558114,0.2812177534335317,1.0000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipon,0.4109885169743355,0.3932474993977947,0.5853050417716141,0.45454951044785824,0.23813192414653603,0.5509480497823627,0.9999999999999807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubo,0.4232069821774599,0.30264500535266836,0.33507562226407955,0.3352163889246434,0.20513366904283706,0.36591759121048656,0.29716051861097464,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecq,0.6370418936457998,0.5151686788393031,0.7228212562465836,0.36228257923737267,0.3055681977861578,0.6093847056249917,0.427565158764618,0.3939909706082731,1.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
face shield,0.8374103024852064,0.5073171636041699,0.6476275791469218,0.5285459331783635,0.31555196863024176,0.6950870125101373,0.3466808380459271,0.44479959685261244,0.6823180325667338,1.0000000000000016,0.0,0.0,0.0,0.0,0.0
Frontliners,0.43417067668157777,0.350439974814651,0.33181832417193874,0.36820096612865594,0.4826343695215419,0.35691179214566815,0.4810442555261387,0.38057773889999097,0.5527461470686995,0.2959608271101805,1.0000000000000009,0.0,0.0,0.0,0.0
masks,0.5826083466596335,0.7027706969192594,0.3337359381971375,0.3648428115573263,0.4645922269637528,0.437096383606381,0.4157207782126435,0.3334795653167304,0.590896356334751,0.5257872530164402,0.4914269137991646,0.9999999999999986,0.0,0.0,0.0
Quarantine,0.8491883906833176,0.4899542537632503,0.5577825988718186,0.3771305241980287,0.23801663031368062,0.6794507190931734,0.3580707113705762,0.4641868522193887,0.61808890340103,0.8713798028644426,0.3357100981376593,0.5333475576897186,0.9999999999999919,0.0,0.0
social distancing,0.7359251692155966,0.39072041903794785,0.645633325955819,0.3161629656245552,0.24751257715259023,0.811501559274206,0.5847606941399349,0.43005457140465647,0.5762241275423212,0.667655559201038,0.38160493199448214,0.39868381283201165,0.6181494979688429,1.0000000000000009,0.0
work from home,0.3991439824699204,0.37527752341610154,0.36662749028533764,0.4071717408038109,0.5541891129576445,0.4051611813321556,0.39042522544833447,0.37243497656558977,0.415055643452579,0.4357977684618206,0.4049380511775347,0.33924994932056435,0.4814643187864536,0.3787860222004856,1.0000000000000082
