source,tag,comparison,radius,metric_type,threshold,window,pca_group,dtw_score
RSV,,Active Cases,50,Network Density,0.6,15,,42.67819735259498
RSV,,Active Cases,50,Network Density,0.5,15,,43.466136260431306
RSV,face shield,Active Cases,50,,,,,43.78029370334088
,,Active Cases,50,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,44.472887130674515
,,Active Cases,50,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,44.5503352167407
RSV,,Active Cases,50,Network Density,0.5,30,,44.973887606706306
,,Active Cases,50,Network Density,0.4,30day,RSVFaceWearing&Others-0.5,45.794899728235414
RSV,,Active Cases,30,Network Density,0.5,30,,46.705954303447946
,,Active Cases,30,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,47.413015248269566
RSV,,Active Cases,30,Network Density,0.5,15,,47.45809492968858
RSV,,Active Cases,30,Network Density,0.6,15,,47.8569796143216
,,Active Cases,50,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,48.70044981726171
,,Active Cases,50,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,48.81170020322938
,,Active Cases,50,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,48.902627610642504
,,Active Cases,30,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,48.98486276436559
RSV,,Active Cases,20,Network Density,0.5,30,,49.10149056451623
,,Active Cases,30,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,49.734607815574925
,,Active Cases,50,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,50.22494143004405
,,Active Cases,20,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,50.68386615258968
,,Active Cases,50,Network Density,0.4,15day,RSVFaceWearing&Others-0.5,51.31548004555896
RSV,,Active Cases,50,Network Density,0.6,30,,51.332704817116166
RSV,,Active Cases,20,Network Density,0.5,15,,51.34750132136291
RSV,,Active Cases,50,Network Density,0.4,15,,51.471924361678155
,,Active Cases,50,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,51.49939564054066
RSV,,Active Cases,15,Network Density,0.5,30,,51.53754306934901
,,Active Cases,30,Network Density,0.4,30day,RSVFaceWearing&Others-0.5,51.61956470808739
,,Active Cases,30,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,51.849968588298985
RSV,,Active Cases,50,Clustering Coefficient,0.4,15,,51.88060377097611
,,Active Cases,15,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,52.39178949623132
,,Active Cases,50,Network Density,0.5,30day,MSVSymptoms-0.5,52.508237278605506
,,Active Cases,50,Network Density,0.5,15day,RSVFaceWearing&Others-0.5,52.56023080030947
,,Active Cases,20,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,52.56709774154247
,,Active Cases,50,Clustering Coefficient,0.4,15day,MSVFaceWearing&Others-0.5,52.68338827797928
RSV,,Active Cases,50,Network Density,0.4,30,,52.93106045861182
,,Active Cases,50,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,53.3885249742292
,,Active Cases,30,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,53.3885249742292
RSV,,Active Cases,30,Network Density,0.4,15,,53.41525703565931
RSV,work from home,Active Cases,50,,,,,53.435230381644885
,,Active Cases,30,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,53.450271764595655
,,Active Cases,50,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,53.6249937984752
RSV,,Active Cases,20,Network Density,0.6,15,,53.65032164684893
RSV,,Active Cases,15,Network Density,0.5,15,,53.68582307881284
,,Active Cases,50,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,53.71723362384035
,,Active Cases,20,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,53.82199432744481
,,Active Cases,20,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,53.88625714553461
,,Active Cases,50,Network Density,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,54.06473151532188
RSV,fever,Active Cases,50,,,,,54.18801191067813
RSV,face shield,Active Cases,30,,,,,54.20779724430838
,,Active Cases,30,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,54.2821612286069
MSV,,Active Cases,50,Network Density,0.4,15,,54.36058462959067
,,Active Cases,50,Clustering Coefficient,0.4,30day,MSVFaceWearing&Others-0.5,54.39349639209065
,,Active Cases,50,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,54.583544185174766
,,Active Cases,15,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,54.61922500234279
,,Active Cases,50,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,54.67657006449242
,,Active Cases,50,Network Density,0.4,30day,MSVFaceWearing&Others-0.5,54.72696359960914
,,Active Cases,20,Network Density,0.4,30day,RSVFaceWearing&Others-0.5,54.76720785305979
,,Active Cases,30,Network Density,0.5,15day,RSVFaceWearing&Others-0.5,54.97802443218618
,,Active Cases,30,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,55.010269724982976
,,Active Cases,50,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,55.12825036663168
RSV,,Active Cases,30,Clustering Coefficient,0.4,15,,55.23972246920357
,,Active Cases,15,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,55.27220972729826
,,Active Cases,7,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,55.2793853836164
,,Active Cases,30,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,55.4537063068129
,,Active Cases,50,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,55.55023896542036
RSV,,Active Cases,30,Network Density,0.4,30,,55.8648746062297
,,Active Cases,20,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,55.867334840965505
,,Active Cases,30,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,55.89023010325242
MSV,,Active Cases,50,Network Density,0.6,15,,55.899687745534834
MSV,,Active Cases,50,Network Density,0.5,15,,55.95719835156968
MSV,,Active Cases,50,Clustering Coefficient,0.4,15,,56.19927424690326
RSV,,Active Cases,15,Network Density,0.6,15,,56.34301304772757
,,Active Cases,50,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,56.371825508387275
,,Active Cases,20,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,56.5629369318714
MSV,,Active Cases,50,Network Density,0.5,30,,56.82575129840341
RSV,,Active Cases,20,Network Density,0.4,15,,56.89092534751587
,,Active Cases,50,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,57.08755037016206
,,Active Cases,50,Network Density,0.4,30day,MSVSymptoms-0.5,57.117945834504816
,,Active Cases,15,Network Density,0.4,30day,RSVFaceWearing&Others-0.5,57.17724440071232
MSV,,Active Cases,50,Network Density,0.4,30,,57.19123143070145
,,Active Cases,50,Network Density,0.4,30day,MSVSymptoms&NewNormalProtocols-0.6,57.19362538380548
,,Active Cases,50,Clustering Coefficient,0.4,15day,MSVSymptoms-0.5,57.24925519798118
,,Active Cases,50,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,57.26302595820465
,,Active Cases,50,Clustering Coefficient,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,57.39696373348321
,,Active Cases,15,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,57.45553208120232
RSV,,Active Cases,30,Network Density,0.6,30,,57.62868990722509
,,Active Cases,50,Network Density,0.5,15day,MSVSymptoms-0.5,57.67859168769682
RSV,,Active Cases,7,Network Density,0.5,30,,57.70180319187182
,,Active Cases,30,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,57.75250679411488
,,Active Cases,50,Network Density,0.6,30day,MSVFaceWearing&Others-0.5,57.9086074407272
,,Active Cases,50,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,57.917402305313416
,,Active Cases,30,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,57.957895050286226
,,Active Cases,30,Network Density,0.4,15day,RSVFaceWearing&Others-0.5,58.05180114791063
,,Active Cases,30,Clustering Coefficient,0.4,15day,MSVFaceWearing&Others-0.5,58.07142059539505
,,Active Cases,20,Network Density,0.5,15day,RSVFaceWearing&Others-0.5,58.341256773465226
,,Active Cases,50,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,58.544051633651215
,,Active Cases,20,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,58.56564934098454
RSV,,Active Cases,15,Network Density,0.4,15,,58.60031058674901
MSV,Quarantine,Active Cases,50,,,,,58.71024870231266
,,Active Cases,30,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,58.73599006653553
,,Active Cases,50,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,58.73599006653553
RSV,,Active Cases,20,Network Density,0.4,30,,58.85044116692975
,,Active Cases,20,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,58.85897678515244
,,Active Cases,20,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,58.878455627401415
RSV,,Active Cases,20,Clustering Coefficient,0.4,15,,58.99566007946245
MSV,,Active Cases,30,Clustering Coefficient,0.4,15,,59.04153013682715
,,Active Cases,30,Network Density,0.4,30day,MSVSymptoms-0.5,59.052286571080515
,,Active Cases,50,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,59.10455423543343
MSV,,Active Cases,30,Network Density,0.4,15,,59.210843941837744
,,Active Cases,30,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,59.21380023970643
,,Active Cases,15,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,59.33633629842962
RSV,cough,Active Cases,50,,,,,59.35678692387933
,,Active Cases,50,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols-0.5,59.38316993099128
,,Active Cases,20,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,59.4445975072627
,,Active Cases,20,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,59.462726080029974
,,Active Cases,15,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,59.49567519445221
MSV,,Active Cases,30,Network Density,0.5,15,,59.563462859740234
,,Active Cases,50,Network Density,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,59.57856372302935
RSV,,Active Cases,7,Network Density,0.5,15,,59.63870030000525
MSV,,Active Cases,30,Network Density,0.4,30,,59.69281474270485
,,Active Cases,15,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,59.81126417392938
RSV,fever,Active Cases,30,,,,,59.84080966351309
,,Active Cases,50,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols-0.5,59.85013081922215
,,Active Cases,30,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,59.86334457876489
,,Active Cases,30,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,59.944888014244256
MSV,,Active Cases,30,Network Density,0.5,30,,59.99247345239672
,,Active Cases,50,Clustering Coefficient,0.5,15day,RSVFaceWearing&Others-0.5,60.24133244427137
,,Active Cases,30,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,60.377671572459114
RSV,sipon,Active Cases,50,,,,,60.452339132544346
,,Active Cases,15,Network Density,0.5,15day,RSVFaceWearing&Others-0.5,60.47558710133241
RSV,,Active Cases,15,Clustering Coefficient,0.4,15,,60.525967829110904
MSV,,Active Cases,30,Network Density,0.6,15,,60.651429711276165
MSV,,Active Cases,20,Network Density,0.4,15,,60.87990600130433
,,Active Cases,20,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,60.90059628827295
,,Active Cases,50,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols-0.5,60.931265307337874
,,Active Cases,50,Clustering Coefficient,0.5,30day,MSVSymptoms-0.5,60.95649892231274
,,Active Cases,7,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,61.04474744634991
,,Active Cases,50,Clustering Coefficient,0.4,30day,MSVSymptoms-0.5,61.068067660013064
RSV,,Active Cases,15,Network Density,0.4,30,,61.076504977545135
,,Active Cases,7,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,61.1188829538
MSV,,Active Cases,20,Network Density,0.4,30,,61.26525126685942
,,Active Cases,15,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,61.285024833661275
,,Active Cases,15,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,61.320893074688406
,,Active Cases,30,Network Density,0.5,30day,MSVSymptoms-0.5,61.32366226220597
,,Active Cases,15,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,61.32894002207429
RSV,face shield,Active Cases,20,,,,,61.434194723019246
,,Active Cases,30,Network Density,0.5,15day,MSVSymptoms-0.5,61.446872278178546
MSV,,Active Cases,20,Clustering Coefficient,0.4,15,,61.52098655983816
,,Active Cases,30,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,61.69932527410736
MSV,,Active Cases,20,Network Density,0.5,15,,61.829256266456774
,,Active Cases,50,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,62.14436429416873
RSV,work from home,Active Cases,30,,,,,62.1482027149087
,,Active Cases,7,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,62.18712017330324
,,Active Cases,50,Network Density,0.5,15day,MSVSymptoms&NewNormalProtocols-0.6,62.18855522924725
,,Active Cases,7,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,62.1958345047325
,,Active Cases,20,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,62.24241562508537
,,Active Cases,50,Clustering Coefficient,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,62.27213944335114
RSV,,Active Cases,7,Network Density,0.6,15,,62.272254463122586
MSV,,Active Cases,15,Network Density,0.4,30,,62.2765288681697
,,Active Cases,50,Network Density,0.5,30day,MSVFaceWearing&Others-0.5,62.37419173460782
RSV,,Active Cases,20,Network Density,0.6,30,,62.394349493793904
