source,tag,comparison,radius,metric_type,threshold,window,pca_group,dtw_score
RSV,face shield,Confirmed Cases,50,,,,,21.447559582688392
RSV,face shield,Confirmed Cases,30,,,,,24.281536736966345
RSV,face shield,Confirmed Cases,20,,,,,27.042812798121613
RSV,face shield,Confirmed Cases,15,,,,,28.737315872812985
,,Confirmed Cases,50,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,30.75897435897437
,,Confirmed Cases,30,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,31.74153846153844
,,Confirmed Cases,50,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,32.97619433198383
RSV,face shield,Confirmed Cases,7,,,,,33.652163186535276
,,Confirmed Cases,20,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,33.81717948717945
,,Confirmed Cases,30,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,34.25495276653175
,,Confirmed Cases,15,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,34.907692307692265
,,Confirmed Cases,50,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,35.915531135531076
RSV,,Confirmed Cases,50,Network Density,0.8,15,,36.30483516483511
RSV,,Confirmed Cases,50,Network Density,0.6,15,,36.33992673992674
RSV,fever,Confirmed Cases,50,,,,,36.34019586995417
RSV,,Confirmed Cases,50,Clustering Coefficient,0.5,15,,36.463076923076926
MSV,,Confirmed Cases,50,Network Density,0.6,15,,36.541282051282074
,,Confirmed Cases,30,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,37.05318681318675
,,Confirmed Cases,20,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,37.098002699055336
RSV,fever,Confirmed Cases,30,,,,,37.21457582097664
RSV,,Confirmed Cases,30,Network Density,0.8,15,,37.6600732600733
,,Confirmed Cases,20,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,37.68978021978017
RSV,,Confirmed Cases,50,Network Density,0.6,30,,37.710185676392534
RSV,cough,Confirmed Cases,50,,,,,37.84139553596861
RSV,,Confirmed Cases,30,Network Density,0.6,15,,38.09036630036633
RSV,,Confirmed Cases,20,Network Density,0.6,15,,38.606959706959735
MSV,,Confirmed Cases,30,Network Density,0.6,15,,38.610466200466234
,,Confirmed Cases,15,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,38.77560053981106
,,Confirmed Cases,15,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,38.859010989010976
RSV,,Confirmed Cases,50,Network Density,0.5,30,,38.95168753726883
,,Confirmed Cases,50,Clustering Coefficient,0.4,15day,MSVFaceWearing&Others-0.5,39.01538461538469
,,Confirmed Cases,50,Clustering Coefficient,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,39.16589743589745
RSV,,Confirmed Cases,50,Clustering Coefficient,0.6,15,,39.24122740647327
,,Confirmed Cases,50,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,39.32025641025645
RSV,,Confirmed Cases,15,Network Density,0.6,15,,39.35787545787549
,,Confirmed Cases,50,Clustering Coefficient,0.5,15day,RSVFaceWearing&Others-0.5,39.575641025641055
RSV,,Confirmed Cases,50,Clustering Coefficient,0.4,15,,39.88238289390234
MSV,,Confirmed Cases,20,Network Density,0.6,15,,39.93853146853149
RSV,,Confirmed Cases,30,Network Density,0.6,30,,39.954208664898395
,,Confirmed Cases,50,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,39.96666666666667
,,Confirmed Cases,20,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,39.96666666666667
,,Confirmed Cases,30,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,39.96666666666667
RSV,,Confirmed Cases,30,Network Density,0.5,30,,40.02844364937378
RSV,fever,Confirmed Cases,20,,,,,40.26603382127968
,,Confirmed Cases,30,Clustering Coefficient,0.5,15day,RSVFaceWearing&Others-0.5,40.342710622710584
,,Confirmed Cases,15,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,40.36230769230771
,,Confirmed Cases,7,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,40.50564102564103
,,Confirmed Cases,50,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,40.54589743589747
RSV,flu,Confirmed Cases,50,,,,,40.55188359970725
,,Confirmed Cases,50,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,40.69794871794876
RSV,,Confirmed Cases,30,Clustering Coefficient,0.5,15,,40.79619254958883
MSV,,Confirmed Cases,50,Network Density,0.5,30,,40.79816464237515
RSV,cough,Confirmed Cases,30,,,,,40.89257946668584
,,Confirmed Cases,30,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,40.89743589743594
,,Confirmed Cases,50,Clustering Coefficient,0.5,30day,MSVSymptoms-0.5,40.95846153846152
RSV,,Confirmed Cases,50,Network Density,0.5,15,,40.971282051282024
,,Confirmed Cases,30,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,40.97743589743597
,,Confirmed Cases,30,Clustering Coefficient,0.4,15day,MSVFaceWearing&Others-0.5,40.995384615384694
RSV,fever,Confirmed Cases,15,,,,,41.04731893919744
MSV,,Confirmed Cases,50,Clustering Coefficient,0.4,15,,41.065397598182365
RSV,,Confirmed Cases,20,Network Density,0.5,30,,41.34875968992242
MSV,,Confirmed Cases,15,Network Density,0.6,15,,41.47389277389279
,,Confirmed Cases,7,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,41.57128205128207
,,Confirmed Cases,50,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,41.5946153846154
RSV,,Confirmed Cases,30,Clustering Coefficient,0.4,15,,41.68306967473045
MSV,,Confirmed Cases,50,Network Density,0.8,30,,41.833589743589656
RSV,,Confirmed Cases,20,Network Density,0.8,15,,41.84611721611727
,,Confirmed Cases,20,Clustering Coefficient,0.5,15day,RSVFaceWearing&Others-0.5,42.025347985348034
RSV,ecq,Confirmed Cases,50,,,,,42.1472724617918
,,Confirmed Cases,50,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,42.147564102564154
MSV,,Confirmed Cases,30,Network Density,0.5,30,,42.23496626180835
MSV,,Confirmed Cases,50,Network Density,0.8,15,,42.255641025641026
,,Confirmed Cases,50,Clustering Coefficient,0.4,30day,MSVFaceWearing&Others-0.5,42.308974358974325
RSV,,Confirmed Cases,15,Network Density,0.5,30,,42.32720930232557
,,Confirmed Cases,50,Clustering Coefficient,0.6,15day,RSVFaceWearing&Others-0.5,42.469487179487174
MSV,,Confirmed Cases,30,Clustering Coefficient,0.4,15,,42.53121064589417
,,Confirmed Cases,50,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,42.61923076923078
,,Confirmed Cases,20,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,42.622820512820454
RSV,,Active Cases,50,Network Density,0.6,15,,42.67819735259498
,,Confirmed Cases,30,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,42.75897435897444
MSV,,Confirmed Cases,50,Clustering Coefficient,0.5,15,,42.78346345197093
,,Confirmed Cases,50,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols1-0.6,42.91769230769265
,,Confirmed Cases,50,Network Density,0.5,30day,MSVSymptoms-0.5,42.94410256410255
,,Confirmed Cases,20,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,42.973589743589784
,,Confirmed Cases,50,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,43.0274358974359
,,Confirmed Cases,30,Clustering Coefficient,0.6,15day,RSVFaceWearing&Others-0.5,43.12333333333332
,,Confirmed Cases,50,Clustering Coefficient,0.4,30day,MSVSymptoms-0.5,43.13102564102564
,,Confirmed Cases,15,Clustering Coefficient,0.5,15day,RSVFaceWearing&Others-0.5,43.26069597069605
RSV,,Confirmed Cases,20,Clustering Coefficient,0.4,15,,43.2773162997191
RSV,,Confirmed Cases,20,Network Density,0.6,30,,43.28628647214862
MSV,,Confirmed Cases,20,Clustering Coefficient,0.4,15,,43.38851996105157
,,Confirmed Cases,50,Network Density,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,43.39846153846152
,,Confirmed Cases,30,Clustering Coefficient,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,43.44230769230769
RSV,,Active Cases,50,Network Density,0.5,15,,43.466136260431306
,,Confirmed Cases,20,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,43.49474358974365
MSV,,Confirmed Cases,50,Clustering Coefficient,0.4,30,,43.51486402486402
,,Confirmed Cases,50,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols-0.5,43.530000000000115
RSV,,Confirmed Cases,50,Clustering Coefficient,0.5,30,,43.53948717948718
,,Confirmed Cases,50,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,43.58974358974361
,,Confirmed Cases,7,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,43.59363022941971
RSV,,Confirmed Cases,15,Network Density,0.8,15,,43.61234432234435
,,Confirmed Cases,50,Network Density,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,43.617039627039645
RSV,,Confirmed Cases,20,Clustering Coefficient,0.5,15,,43.67129656507024
,,Confirmed Cases,7,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,43.72805860805858
RSV,cough,Confirmed Cases,20,,,,,43.774098500602165
RSV,face shield,Active Cases,50,,,,,43.78029370334088
