metric_type,source,threshold,window,comparison,radius,dtw_score
Clustering Coefficient,MSV,0.5,30,Confirmed Cases,50,8.861386708529578
Clustering Coefficient,MSV,0.6,30,Confirmed Cases,50,9.574479330193604
Network Density,MSV,0.8,30,Confirmed Cases,50,9.682307692307651
Network Density,MSV,0.5,30,Confirmed Cases,50,10.224224021592464
Clustering Coefficient,MSV,0.4,30,Confirmed Cases,50,10.431600621600674
Clustering Coefficient,RSV,0.6,30,Confirmed Cases,50,10.714615384615307
Network Density,MSV,0.6,30,Confirmed Cases,50,10.736003016591214
Clustering Coefficient,RSV,0.8,30,Confirmed Cases,50,10.769999999999808
Clustering Coefficient,MSV,0.8,30,Confirmed Cases,50,10.956410256410148
Clustering Coefficient,MSV,0.5,15,Confirmed Cases,50,11.227692307692378
Clustering Coefficient,RSV,0.8,15,Confirmed Cases,50,11.811217948717808
Clustering Coefficient,RSV,0.5,30,Confirmed Cases,50,11.992222222222184
Clustering Coefficient,RSV,0.5,15,Confirmed Cases,50,12.246100628930817
Clustering Coefficient,MSV,0.6,15,Confirmed Cases,50,12.721832858499484
Network Density,RSV,0.8,30,Confirmed Cases,50,13.36128205128198
Clustering Coefficient,MSV,0.8,15,Confirmed Cases,50,13.370256410256324
Network Density,MSV,0.8,30,Confirmed Cases,30,13.549999999999937
Clustering Coefficient,MSV,0.5,30,Confirmed Cases,30,14.039461015175295
Network Density,MSV,0.8,15,Confirmed Cases,50,14.263589743589655
Network Density,RSV,0.6,30,Confirmed Cases,50,14.466587091069792
Network Density,MSV,0.6,15,Confirmed Cases,50,14.5034731934732
Clustering Coefficient,RSV,0.5,15,Confirmed Cases,30,14.712626995645852
Clustering Coefficient,MSV,0.6,30,Confirmed Cases,30,14.961423338566153
Clustering Coefficient,MSV,0.5,15,Confirmed Cases,30,14.964875621890611
Clustering Coefficient,RSV,0.6,30,Confirmed Cases,30,15.036410256410232
Network Density,RSV,0.8,15,Confirmed Cases,50,15.435421245421201
Clustering Coefficient,RSV,0.6,15,Confirmed Cases,50,15.50160571668768
Clustering Coefficient,RSV,0.5,30,Confirmed Cases,30,15.629658119658128
Clustering Coefficient,MSV,0.8,30,Confirmed Cases,30,15.775641025640954
Clustering Coefficient,RSV,0.8,15,Confirmed Cases,30,15.790448717948633
Network Density,RSV,0.5,30,Confirmed Cases,50,15.899051878354177
Clustering Coefficient,RSV,0.8,30,Confirmed Cases,30,16.058974358974204
Network Density,MSV,0.5,30,Active Cases,50,16.108122604797092
Network Density,MSV,0.5,30,Confirmed Cases,30,16.154858299595134
Network Density,MSV,0.6,30,Confirmed Cases,30,16.487692307692317
Clustering Coefficient,MSV,0.4,30,Confirmed Cases,30,16.526029526029586
Clustering Coefficient,RSV,0.4,30,Confirmed Cases,50,16.599227157818678
Network Density,RSV,0.8,30,Confirmed Cases,30,16.666153846153826
Network Density,MSV,0.8,30,Confirmed Cases,20,16.77743589743584
Network Density,RSV,0.6,30,Confirmed Cases,30,16.894031830238717
Clustering Coefficient,MSV,0.6,15,Confirmed Cases,30,16.921566951566973
Clustering Coefficient,MSV,0.5,30,Confirmed Cases,20,17.244165358451106
Clustering Coefficient,RSV,0.5,15,Confirmed Cases,20,17.339627479438825
Clustering Coefficient,MSV,0.4,15,Confirmed Cases,50,17.344907497565707
Network Density,RSV,0.6,15,Confirmed Cases,50,17.438095238095247
Clustering Coefficient,MSV,0.8,15,Confirmed Cases,30,17.438205128205116
Network Density,MSV,0.8,15,Confirmed Cases,30,17.448205128205082
Clustering Coefficient,MSV,0.5,15,Confirmed Cases,20,17.883704554152352
Network Density,RSV,0.8,15,Confirmed Cases,30,17.903699633699617
Network Density,MSV,0.6,15,Confirmed Cases,30,18.19097902097899
Clustering Coefficient,MSV,0.6,30,Confirmed Cases,20,18.371601255886983
Clustering Coefficient,RSV,0.6,15,Confirmed Cases,30,18.65324506095001
Network Density,MSV,0.5,30,Confirmed Cases,20,18.737408906882536
Network Density,RSV,0.5,30,Confirmed Cases,30,18.755593321407268
Clustering Coefficient,MSV,0.8,30,Confirmed Cases,20,18.918974358974314
Network Density,MSV,0.8,30,Confirmed Cases,15,18.950512820512795
Clustering Coefficient,RSV,0.6,30,Confirmed Cases,20,19.11512820512822
Clustering Coefficient,RSV,0.4,15,Confirmed Cases,50,19.12627978617377
Network Density,RSV,0.6,30,Confirmed Cases,20,19.15611847922196
Network Density,MSV,0.6,30,Confirmed Cases,20,19.186621417797987
Clustering Coefficient,RSV,0.8,15,Confirmed Cases,20,19.212243589743544
Clustering Coefficient,MSV,0.4,30,Confirmed Cases,20,19.271585081585076
Clustering Coefficient,RSV,0.4,30,Confirmed Cases,30,19.327919826652266
Network Density,RSV,0.5,30,Active Cases,50,19.396561643925203
Clustering Coefficient,RSV,0.5,30,Confirmed Cases,20,19.530000000000033
Network Density,MSV,0.4,30,Confirmed Cases,50,19.573260619977006
Clustering Coefficient,RSV,0.8,30,Confirmed Cases,20,19.608461538461412
Clustering Coefficient,RSV,0.5,15,Confirmed Cases,15,19.708751814223586
Network Density,MSV,0.4,30,Active Cases,50,19.73511169203182
Clustering Coefficient,MSV,0.5,30,Confirmed Cases,15,19.764411302982772
Network Density,MSV,0.6,15,Active Cases,50,19.797794931245136
Network Density,RSV,0.6,15,Confirmed Cases,30,19.877509157509156
Clustering Coefficient,MSV,0.6,15,Confirmed Cases,20,20.080417853751232
Network Density,RSV,0.8,30,Confirmed Cases,20,20.09102564102563
Network Density,RSV,0.8,15,Confirmed Cases,20,20.18721611721614
Clustering Coefficient,MSV,0.5,15,Confirmed Cases,15,20.257975507080012
Network Density,MSV,0.6,15,Confirmed Cases,20,20.30703962703961
Network Density,RSV,0.5,15,Active Cases,50,20.400200251617324
Network Density,MSV,0.5,30,Confirmed Cases,15,20.430958164642348
Network Density,MSV,0.8,15,Confirmed Cases,20,20.488205128205124
Network Density,MSV,0.5,15,Confirmed Cases,50,20.56521870286575
Clustering Coefficient,MSV,0.8,15,Confirmed Cases,20,20.597948717948707
Network Density,RSV,0.5,30,Confirmed Cases,20,20.703029218843167
Network Density,RSV,0.5,15,Confirmed Cases,50,20.726923076923068
Network Density,MSV,0.6,30,Confirmed Cases,15,20.841312217194616
Clustering Coefficient,MSV,0.6,30,Confirmed Cases,15,20.970507587650463
Network Density,MSV,0.5,15,Active Cases,50,21.086348164564463
Network Density,RSV,0.6,30,Confirmed Cases,15,21.129098143236117
Network Density,MSV,0.6,30,Active Cases,50,21.264711394819432
Clustering Coefficient,MSV,0.8,30,Confirmed Cases,15,21.480256410256366
Clustering Coefficient,MSV,0.4,30,Confirmed Cases,15,21.550777000777032
Network Density,RSV,0.6,15,Active Cases,50,21.6031168212422
Clustering Coefficient,RSV,0.6,15,Confirmed Cases,20,21.710105086170678
Clustering Coefficient,MSV,0.4,15,Confirmed Cases,30,21.711145731905216
Network Density,RSV,0.8,15,Confirmed Cases,15,21.89989010989014
Clustering Coefficient,RSV,0.8,15,Confirmed Cases,15,21.909166666666625
Network Density,MSV,0.6,15,Confirmed Cases,15,22.035687645687677
Clustering Coefficient,RSV,0.4,30,Confirmed Cases,20,22.107522571325436
Clustering Coefficient,RSV,0.6,30,Confirmed Cases,15,22.168205128205127
Network Density,RSV,0.6,15,Confirmed Cases,20,22.335091575091564
Network Density,RSV,0.5,30,Confirmed Cases,15,22.368401908169343
