metric_type,source,threshold,window,comparison,radius,dtw_score
Network Density,RSV,0.8,15,Confirmed Cases,50,36.30483516483511
Network Density,RSV,0.6,15,Confirmed Cases,50,36.33992673992674
Clustering Coefficient,RSV,0.5,15,Confirmed Cases,50,36.463076923076926
Network Density,MSV,0.6,15,Confirmed Cases,50,36.541282051282074
Network Density,RSV,0.8,15,Confirmed Cases,30,37.6600732600733
Network Density,RSV,0.6,30,Confirmed Cases,50,37.710185676392534
Network Density,RSV,0.6,15,Confirmed Cases,30,38.09036630036633
Network Density,RSV,0.6,15,Confirmed Cases,20,38.606959706959735
Network Density,MSV,0.6,15,Confirmed Cases,30,38.610466200466234
Network Density,RSV,0.5,30,Confirmed Cases,50,38.95168753726883
Clustering Coefficient,RSV,0.6,15,Confirmed Cases,50,39.24122740647327
Network Density,RSV,0.6,15,Confirmed Cases,15,39.35787545787549
Clustering Coefficient,RSV,0.4,15,Confirmed Cases,50,39.88238289390234
Network Density,MSV,0.6,15,Confirmed Cases,20,39.93853146853149
Network Density,RSV,0.6,30,Confirmed Cases,30,39.954208664898395
Network Density,RSV,0.5,30,Confirmed Cases,30,40.02844364937378
Clustering Coefficient,RSV,0.5,15,Confirmed Cases,30,40.79619254958883
Network Density,MSV,0.5,30,Confirmed Cases,50,40.798164642375156
Network Density,RSV,0.5,15,Confirmed Cases,50,40.971282051282024
Clustering Coefficient,MSV,0.4,15,Confirmed Cases,50,41.065397598182365
Network Density,RSV,0.5,30,Confirmed Cases,20,41.34875968992242
Network Density,MSV,0.6,15,Confirmed Cases,15,41.47389277389279
Clustering Coefficient,RSV,0.4,15,Confirmed Cases,30,41.68306967473045
Network Density,MSV,0.8,30,Confirmed Cases,50,41.833589743589656
Network Density,RSV,0.8,15,Confirmed Cases,20,41.84611721611727
Network Density,MSV,0.5,30,Confirmed Cases,30,42.23496626180835
Network Density,MSV,0.8,15,Confirmed Cases,50,42.255641025641026
Network Density,RSV,0.5,30,Confirmed Cases,15,42.327209302325564
Clustering Coefficient,MSV,0.4,15,Confirmed Cases,30,42.53121064589417
Network Density,RSV,0.6,15,Active Cases,50,42.67819735259498
Clustering Coefficient,MSV,0.5,15,Confirmed Cases,50,42.78346345197093
Clustering Coefficient,RSV,0.4,15,Confirmed Cases,20,43.2773162997191
Network Density,RSV,0.6,30,Confirmed Cases,20,43.28628647214862
Clustering Coefficient,MSV,0.4,15,Confirmed Cases,20,43.38851996105157
Network Density,RSV,0.5,15,Active Cases,50,43.466136260431306
Clustering Coefficient,MSV,0.4,30,Confirmed Cases,50,43.51486402486402
Clustering Coefficient,RSV,0.5,30,Confirmed Cases,50,43.53948717948718
Network Density,RSV,0.8,15,Confirmed Cases,15,43.612344322344356
Clustering Coefficient,RSV,0.5,15,Confirmed Cases,20,43.671296565070236
Network Density,MSV,0.5,30,Confirmed Cases,20,44.03651821862343
