pca_group,metric_type,threshold,window,comparison,radius,dtw_score
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,50,30.75897435897437
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,30,31.74153846153844
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.4,15day,Confirmed Cases,50,32.97619433198383
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,20,33.81717948717945
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.4,15day,Confirmed Cases,30,34.25495276653175
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,15,34.907692307692265
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,30day,Confirmed Cases,50,35.915531135531076
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,30day,Confirmed Cases,30,37.05318681318675
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.4,15day,Confirmed Cases,20,37.098002699055336
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,30day,Confirmed Cases,20,37.68978021978017
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.4,15day,Confirmed Cases,15,38.77560053981106
RSVSymptoms&NewNormalProtocols2-0.6,Network Density,0.5,30day,Confirmed Cases,15,38.859010989010976
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,50,39.01538461538469
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.5,30day,Confirmed Cases,50,39.16589743589745
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,30day,Confirmed Cases,50,39.32025641025645
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,50,39.575641025641055
RSVFaceWearing&Others-0.5,Network Density,0.6,30day,Confirmed Cases,20,39.96666666666667
RSVFaceWearing&Others-0.5,Network Density,0.6,30day,Confirmed Cases,50,39.96666666666667
RSVFaceWearing&Others-0.5,Network Density,0.6,30day,Confirmed Cases,30,39.96666666666667
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,30,40.342710622710584
RSVFaceWearing&Others-0.5,Network Density,0.6,30day,Confirmed Cases,15,40.36230769230771
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,7,40.50564102564103
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,50,40.54589743589747
MSVSymptoms&NewNormalProtocols-0.6,Clustering Coefficient,0.4,15day,Confirmed Cases,50,40.69794871794876
RSVSymptoms&NewNormalProtocols2-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,30,40.89743589743594
MSVSymptoms-0.5,Clustering Coefficient,0.5,30day,Confirmed Cases,50,40.95846153846152
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.5,30day,Confirmed Cases,30,40.97743589743597
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,15day,Confirmed Cases,30,40.995384615384694
RSVFaceWearing&Others-0.5,Network Density,0.6,30day,Confirmed Cases,7,41.57128205128207
RSVSymptoms&NewNormalProtocols1-0.6,Clustering Coefficient,0.5,15day,Confirmed Cases,50,41.5946153846154
RSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,20,42.025347985348034
RSVSymptoms&NewNormalProtocols1-0.6,Network Density,0.6,15day,Confirmed Cases,50,42.147564102564154
