,Frontliners,Quarantine,cough,ecq,face shield,fever,flu,headache,lagnat,masks,rashes,sipon,social distancing,ubo,work from home
Frontliners,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Quarantine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09987941267659395,1.0,1.0,1.0,1.0
cough,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ecq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06768603264325665,1.0,1.0,1.0,1.0
face shield,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15923141789095854,1.0,1.0,1.0,1.0
fever,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10452281940520321,1.0,1.0,1.0,1.0
flu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
headache,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lagnat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14579438700998243,1.0,1.0,1.0,1.0
masks,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rashes,1.0,0.09987941267659395,1.0,0.06768603264325665,0.15923141789095854,0.10452281940520321,1.0,1.0,0.14579438700998243,1.0,1.0,1.0,1.0,1.0,1.0
sipon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
social distancing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ubo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
work from home,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
