date,Frontliners
2020-03-16,14.0
2020-03-17,24.0
2020-03-18,33.0
2020-03-19,19.0
2020-03-20,26.0
2020-03-21,31.0
2020-03-22,48.0
2020-03-23,52.0
2020-03-24,63.0
2020-03-25,60.0
2020-03-26,64.0
2020-03-27,71.0
2020-03-28,78.0
2020-03-29,68.0
2020-03-30,73.0
2020-03-31,82.0
2020-04-01,80.0
2020-04-02,99.0
2020-04-03,95.0
2020-04-04,100.0
2020-04-05,88.0
2020-04-06,90.0
2020-04-07,69.0
2020-04-08,71.0
2020-04-09,67.0
2020-04-10,55.0
2020-04-11,42.0
2020-04-12,55.0
2020-04-13,49.0
2020-04-15,62.987586281661336
2020-04-16,55.12498983686653
2020-04-17,60.15262026388065
2020-04-18,64.75716970011995
2020-04-19,52.0
2020-04-20,56.0
2020-04-21,60.683048668146114
2020-04-22,55.405542303301075
2020-04-23,64.0
2020-04-24,59.0
2020-04-25,51.0
2020-04-26,46.0
2020-04-27,53.0
2020-04-28,55.0
2020-04-29,66.0
2020-04-30,53.0
2020-05-01,50.0
2020-05-02,45.0
2020-05-03,29.0
2020-05-04,39.402185537918356
2020-05-05,49.0
2020-05-06,29.262001931668483
2020-05-07,56.22849876392337
2020-05-08,57.08850347572671
2020-05-09,62.0
2020-05-10,39.0
2020-05-11,50.0
2020-05-12,40.0
2020-05-13,44.0
2020-05-14,44.160426300845465
2020-05-15,38.0
2020-05-16,39.0
2020-05-17,38.0
2020-05-18,38.124251037565806
2020-05-19,36.0
2020-05-20,38.0
2020-05-21,41.985032768739515
2020-05-22,26.593616309743755
2020-05-23,31.0
2020-05-24,33.0
2020-05-25,32.0
2020-05-26,37.0
2020-05-27,31.0
2020-05-28,36.0
2020-05-29,20.015884911575608
2020-05-30,24.714263110855907
2020-05-31,45.0
2020-06-01,28.080775602274404
2020-06-02,27.0
2020-06-03,37.0
2020-06-04,49.820171155263644
2020-06-05,29.0
2020-06-06,39.0
2020-06-07,27.52495852020332
2020-06-08,31.56212680274978
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,40.0
2020-06-12,46.130194187571
2020-06-13,45.163391857950195
2020-06-14,44.0
2020-06-15,71.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,47.0
2020-06-19,0.0
2020-06-20,38.81757469300144
2020-06-21,0.0
2020-06-22,42.0
2020-06-23,48.0
2020-06-24,0.0
2020-06-25,45.133617904114985
2020-06-26,49.499866614704715
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,52.87507211670877
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,100.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,46.0
2020-07-30,50.0
2020-07-31,51.36827683204811
2020-08-01,65.4114420062696
2020-08-02,92.29637756879137
2020-08-03,100.0
2020-08-04,61.0
2020-08-05,46.0
2020-08-06,33.0
2020-08-07,38.0
2020-08-08,0.0
2020-08-09,27.0
2020-08-10,30.0
2020-08-11,40.0
2020-08-12,32.0
2020-08-13,38.0
2020-08-14,0.0
2020-08-15,20.0
2020-08-16,24.0
2020-08-17,37.0
2020-08-18,72.0
2020-08-19,34.0
2020-08-20,49.0
2020-08-21,49.0
2020-08-22,22.0
