date,flu
2020-03-16,100.0
2020-03-17,50.0
2020-03-18,38.0
2020-03-19,38.0
2020-03-20,35.0
2020-03-21,33.0
2020-03-22,33.0
2020-03-23,35.0
2020-03-24,27.0
2020-03-25,29.0
2020-03-26,27.0
2020-03-27,26.0
2020-03-28,27.0
2020-03-29,26.0
2020-03-30,22.0
2020-03-31,16.0
2020-04-01,16.0
2020-04-02,16.0
2020-04-03,14.0
2020-04-04,17.0
2020-04-05,20.0
2020-04-06,18.0
2020-04-07,15.0
2020-04-08,13.0
2020-04-09,13.0
2020-04-10,21.0
2020-04-11,16.0
2020-04-12,12.0
2020-04-13,15.0
2020-04-15,13.43041879939055
2020-04-16,18.462634173272107
2020-04-17,28.788125899544607
2020-04-18,29.728738510539294
2020-04-19,37.0
2020-04-20,35.0
2020-04-21,33.49187892500686
2020-04-22,28.253368475087434
2020-04-23,35.0
2020-04-24,37.38848606605463
2020-04-25,38.161280644361945
2020-04-26,35.88932506770926
2020-04-27,29.806066389699808
2020-04-28,42.2298391935156
2020-04-29,59.703848413789245
2020-04-30,54.0
2020-05-01,60.0
2020-05-02,44.0
2020-05-03,41.40155875893103
2020-05-04,49.63892815750444
2020-05-05,34.4320310264756
2020-05-06,31.096577019857552
2020-05-07,30.0
2020-05-08,41.0
2020-05-09,22.846760360694983
2020-05-10,28.269238903730635
2020-05-11,53.89624347015671
2020-05-12,49.0
2020-05-13,49.98264751859853
2020-05-14,60.0
2020-05-15,67.80455905074685
2020-05-16,100.4227328326423
2020-05-17,100.0
2020-05-18,93.0
2020-05-19,81.0
2020-05-20,69.0
2020-05-21,62.0
2020-05-22,63.0
2020-05-23,66.0
2020-05-24,54.0
2020-05-25,63.0
2020-05-26,44.0
2020-05-27,52.0
2020-05-28,74.0
2020-05-29,64.0
2020-05-30,75.0
2020-05-31,65.0
2020-06-01,74.0453876446709
2020-06-02,62.84757197883601
2020-06-03,47.77318623736924
2020-06-04,77.0
2020-06-05,59.0
2020-06-06,68.0
2020-06-07,65.0
2020-06-08,59.0
2020-06-09,44.0
2020-06-10,45.0
2020-06-11,55.0
2020-06-12,60.0
2020-06-13,75.53160379220421
2020-06-14,79.0
2020-06-15,65.31984258830573
2020-06-16,53.71313310752656
2020-06-17,82.2657846741244
2020-06-18,85.92985195037699
2020-06-19,85.0
2020-06-20,64.0
2020-06-21,54.0
2020-06-22,75.0
2020-06-23,62.0
2020-06-24,70.0
2020-06-25,80.0
2020-06-26,89.0
2020-06-27,63.0
2020-06-28,89.0
2020-06-29,86.38402247961632
2020-06-30,100.0
2020-07-01,75.0
2020-07-02,70.0
2020-07-03,54.0
2020-07-04,54.0
2020-07-05,73.0
2020-07-06,68.0
2020-07-07,56.0
2020-07-08,52.0
