date,headache
2020-03-16,79.0
2020-03-17,85.0
2020-03-18,70.0
2020-03-19,58.0
2020-03-20,55.0
2020-03-21,81.0
2020-03-22,90.0
2020-03-23,75.0
2020-03-24,84.0
2020-03-25,76.0
2020-03-26,81.0
2020-03-27,81.0
2020-03-28,91.0
2020-03-29,73.0
2020-03-30,86.0
2020-03-31,78.0
2020-04-01,68.0
2020-04-02,100.0
2020-04-03,78.0
2020-04-04,89.0
2020-04-05,63.0
2020-04-06,85.0
2020-04-07,77.0
2020-04-08,69.0
2020-04-09,81.0
2020-04-10,91.0
2020-04-11,88.0
2020-04-12,83.0
2020-04-13,67.0
2020-04-15,83.0
2020-04-16,71.0
2020-04-17,85.0
2020-04-18,69.0
2020-04-19,85.0
2020-04-20,70.0
2020-04-21,81.0
2020-04-22,76.0
2020-04-23,77.0
2020-04-24,76.0
2020-04-25,87.0
2020-04-26,78.0
2020-04-27,79.0
2020-04-28,86.0
2020-04-29,77.0
2020-04-30,72.229496718379
2020-05-01,83.71756637616834
2020-05-02,82.78730354336521
2020-05-03,75.0
2020-05-04,65.0
2020-05-05,64.0
2020-05-06,68.0
2020-05-07,69.15256249536084
2020-05-08,75.0
2020-05-09,87.29096714018637
2020-05-10,57.32123068366212
2020-05-11,80.07068201468431
2020-05-12,67.62661955614402
2020-05-13,76.0
2020-05-14,63.79136797712331
2020-05-15,70.0
2020-05-16,90.0
2020-05-17,82.0
2020-05-18,93.0
2020-05-19,51.0
2020-05-20,80.0
2020-05-21,64.0
2020-05-22,78.0
2020-05-23,76.0
2020-05-24,71.0
2020-05-25,86.92154309438287
2020-05-26,95.0
2020-05-27,87.0
2020-05-28,76.37434595390906
2020-05-29,86.0
2020-05-30,84.0
2020-05-31,97.0
2020-06-01,90.0
2020-06-02,67.0
2020-06-03,79.0
2020-06-04,74.0
2020-06-05,78.0
2020-06-06,91.0
2020-06-07,87.0
2020-06-08,82.57973103885453
2020-06-09,67.0
2020-06-10,70.0
2020-06-11,72.0
2020-06-12,84.0
2020-06-13,86.0
2020-06-14,87.0
2020-06-15,66.0
2020-06-16,71.0
2020-06-17,77.0
2020-06-18,63.0
2020-06-19,51.0
2020-06-20,88.0
2020-06-21,81.0
2020-06-22,95.0
2020-06-23,67.0
2020-06-24,83.0
2020-06-25,95.4009798747927
2020-06-26,79.0
2020-06-27,99.0
2020-06-28,99.0
2020-06-29,70.0
2020-06-30,82.086638707765
2020-07-01,84.0
2020-07-02,90.0
2020-07-03,79.0
2020-07-04,80.03574999080067
2020-07-05,100.0
2020-07-06,97.0
2020-07-07,80.0
2020-07-08,89.0
2020-07-09,82.0
2020-07-10,89.0
2020-07-11,82.55783083195338
2020-07-12,105.12499618386282
2020-07-13,73.0
2020-07-14,68.0
2020-07-15,86.0
2020-07-16,83.0
2020-07-17,71.96778470052136
2020-07-18,78.0
2020-07-19,86.0
2020-07-20,86.0
2020-07-21,81.0
2020-07-22,98.69006122108294
2020-07-23,99.95833756799293
2020-07-24,84.84816767427078
2020-07-25,92.11142705014332
2020-07-26,81.64204813854468
2020-07-27,86.90080257496174
2020-07-28,66.96786418846655
2020-07-29,99.25557925117405
2020-07-30,75.0
2020-07-31,60.109510880654355
2020-08-01,82.57432263825723
2020-08-02,81.11268091514718
2020-08-03,74.56356491918835
2020-08-04,77.0
2020-08-05,77.0
2020-08-06,85.0
2020-08-07,61.0
2020-08-08,85.0
2020-08-09,76.0
2020-08-10,80.0
2020-08-11,74.0
2020-08-12,96.0
2020-08-13,85.0
2020-08-14,65.0
2020-08-15,69.0
2020-08-16,81.0
2020-08-17,74.0
2020-08-18,72.52082084963762
2020-08-19,65.77224139927199
2020-08-20,66.0
2020-08-21,78.0
2020-08-22,83.7294256261847
2020-08-23,78.60026287480234
2020-08-24,77.53092305819158
2020-08-25,76.0
2020-08-26,80.0
2020-08-27,86.0
2020-08-28,69.63472068648733
2020-08-29,90.0
2020-08-30,88.0
2020-08-31,88.0
2020-09-01,66.0
2020-09-02,61.0
2020-09-03,67.0
2020-09-04,75.0
2020-09-05,69.0
2020-09-06,81.0
2020-09-07,77.0
2020-09-08,72.0
2020-09-09,71.0
2020-09-10,74.0
2020-09-11,71.36293572384103
2020-09-12,69.0
2020-09-13,80.0
2020-09-14,73.0
2020-09-15,57.0
2020-09-16,57.0
2020-09-17,68.0
2020-09-18,72.0
2020-09-19,65.0
2020-09-20,69.0
2020-09-21,80.76581977423447
2020-09-22,56.0
2020-09-23,60.0
2020-09-24,63.0
2020-09-25,73.0
2020-09-26,68.0
2020-09-27,89.0
2020-09-28,79.0
2020-09-29,69.0
2020-09-30,65.95165212672033
2020-10-01,95.0
2020-10-02,68.80817030011298
2020-10-03,84.0575479324559
2020-10-04,82.0
2020-10-05,82.0
2020-10-06,62.5936798169993
2020-10-07,60.0
2020-10-08,70.0
2020-10-09,73.0
2020-10-10,72.0
2020-10-11,93.0
2020-10-12,64.0
2020-10-13,69.0
2020-10-14,63.0
2020-10-15,51.0
2020-10-16,66.0
2020-10-17,68.0
2020-10-18,89.0
2020-10-19,82.0
2020-10-20,68.0
2020-10-21,83.0
2020-10-22,73.0
2020-10-23,86.15094449272736
2020-10-24,98.46785336348832
2020-10-25,91.0
2020-10-26,96.0
2020-10-27,76.0
2020-10-28,87.03326499430116
2020-10-29,98.26752493856145
2020-10-30,77.0
2020-10-31,74.8811631396034
2020-11-01,76.45536525122785
2020-11-02,96.88764138168204
2020-11-03,87.0
2020-11-04,76.0
2020-11-05,60.0
2020-11-06,69.0
2020-11-07,93.0
2020-11-08,86.0
2020-11-09,61.0
2020-11-10,57.0
2020-11-11,80.40259154208093
2020-11-12,100.0
2020-11-13,53.0
2020-11-14,65.0
2020-11-15,78.0
2020-11-16,72.0
2020-11-17,71.0
2020-11-18,73.0
2020-11-19,67.0
2020-11-20,70.0
2020-11-21,84.0
2020-11-22,99.0
2020-11-23,89.0
2020-11-24,61.0
2020-11-25,59.0
2020-11-26,47.0
2020-11-27,65.0
2020-11-28,73.0
2020-11-29,67.0
2020-11-30,81.0
2020-12-01,57.0
2020-12-02,66.0
2020-12-03,65.0
2020-12-04,57.0
2020-12-05,89.0
2020-12-06,82.0
2020-12-07,84.0
2020-12-08,70.0
2020-12-09,69.0
2020-12-10,64.0
2020-12-11,82.0
2020-12-12,84.7711815952781
2020-12-13,60.0
2020-12-14,66.0
2020-12-15,63.0
2020-12-16,69.0
2020-12-17,82.0
2020-12-18,65.0
2020-12-19,63.266732314337375
2020-12-20,79.0
2020-12-21,66.61621715965192
2020-12-22,45.406248555747354
2020-12-23,78.0
2020-12-24,92.0
2020-12-25,70.0
2020-12-26,59.0
2020-12-27,59.0
2020-12-28,94.0
2020-12-29,83.0
2020-12-30,96.37712373551106
2020-12-31,77.80637290162666
2021-01-01,100.0
2021-01-02,63.0
2021-01-03,65.0
2021-01-04,68.0
2021-01-05,66.0
2021-01-06,66.0
2021-01-07,77.0
2021-01-08,68.0
2021-01-09,73.05552487431
2021-01-10,88.09344885164708
2021-01-11,83.0
2021-01-12,72.0
2021-01-13,62.332090904041216
2021-01-14,73.69573693354417
2021-01-15,72.0
2021-01-16,57.383470413667595
2021-01-17,76.0
2021-01-18,89.0
2021-01-19,69.28125994036628
2021-01-20,68.0
2021-01-21,70.0
2021-01-22,87.0
2021-01-23,76.0
2021-01-24,71.0
2021-01-25,71.0
2021-01-26,74.0
2021-01-27,74.0
2021-01-28,83.0
2021-01-29,65.84157319903667
2021-01-30,78.0
2021-01-31,71.53866167598555
2021-02-01,76.4578571477878
2021-02-02,79.94952304056068
2021-02-03,59.85692369945773
2021-02-04,55.0
2021-02-05,69.51247934153017
2021-02-06,83.0
2021-02-07,84.0
2021-02-08,89.70792558432204
2021-02-09,70.27575685620938
2021-02-10,66.0
2021-02-11,87.2655622933116
2021-02-12,71.49227164768436
2021-02-13,71.94195437832829
2021-02-14,78.36059320168127
2021-02-15,68.60549875902451
2021-02-16,68.95226025377616
2021-02-17,69.36562110035486
2021-02-18,79.23055892293455
2021-02-19,58.0
2021-02-20,84.3011012762156
2021-02-21,99.0
2021-02-22,88.04672516776527
2021-02-23,70.08709589686886
2021-02-24,72.0
2021-02-25,84.0
2021-02-26,94.0
2021-02-27,87.0
2021-02-28,92.0
2021-03-01,96.0
2021-03-02,86.0
2021-03-03,78.0
2021-03-04,88.0
2021-03-05,68.0
2021-03-06,94.0
2021-03-07,79.0
2021-03-08,93.0
2021-03-09,99.0
2021-03-10,84.22997675919129
2021-03-11,100.0
2021-03-12,64.0
2021-03-13,81.0
2021-03-14,89.0
2021-03-15,79.0
