date,lagnat
2020-03-16,50.0
2020-03-17,71.0
2020-03-18,79.0
2020-03-19,50.0
2020-03-20,51.0
2020-03-21,100.0
2020-03-22,72.0
2020-03-23,52.0
2020-03-24,57.0
2020-03-25,46.0
2020-03-26,58.0
2020-03-27,50.0
2020-03-28,66.0
2020-03-29,0.0
2020-03-30,46.0
2020-03-31,0.0
2020-04-01,69.0
2020-04-02,46.0
2020-04-03,50.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,65.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,52.0
2020-04-13,0.0
2020-04-15,0.0
2020-04-16,55.32970313906779
2020-04-17,0.0
2020-04-18,62.0
2020-04-19,90.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,68.86833399451864
2020-04-23,47.557714658330966
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,65.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,69.69070693157518
2020-05-01,100.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,57.831189213085764
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,87.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,77.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,60.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,87.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,85.0
2020-06-17,0.0
2020-06-18,90.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,100.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,100.0
2020-06-28,50.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,49.0
2020-07-03,40.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,46.0
2020-07-08,0.0
2020-07-09,71.0
2020-07-10,51.0
2020-07-11,51.0
2020-07-12,58.0
2020-07-13,49.0
2020-07-14,42.0
2020-07-15,56.0
2020-07-16,55.0
2020-07-17,0.0
2020-07-18,47.0
2020-07-19,69.0
2020-07-20,0.0
2020-07-21,41.0
2020-07-22,52.0
2020-07-23,46.0
2020-07-24,50.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,100.0
2020-07-29,90.0
2020-07-30,0.0
2020-07-31,61.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,52.0
2020-08-04,0.0
2020-08-05,58.0
2020-08-06,57.0
2020-08-07,81.0
2020-08-08,0.0
2020-08-09,71.0
2020-08-10,61.0
2020-08-11,49.0
2020-08-12,59.0
2020-08-13,57.0
2020-08-14,71.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,55.0
2020-08-21,0.0
2020-08-22,53.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
