date,masks
2020-03-16,53.0
2020-03-17,46.0
2020-03-18,46.0
2020-03-19,69.0
2020-03-20,38.0
2020-03-21,66.0
2020-03-22,75.0
2020-03-23,67.0
2020-03-24,43.0
2020-03-25,62.0
2020-03-26,43.0
2020-03-27,41.0
2020-03-28,69.0
2020-03-29,69.0
2020-03-30,46.0
2020-03-31,56.0
2020-04-01,87.0
2020-04-02,100.0
2020-04-03,87.0
2020-04-04,73.0
2020-04-05,81.0
2020-04-06,98.0
2020-04-07,68.0
2020-04-08,65.0
2020-04-09,73.0
2020-04-10,77.0
2020-04-11,69.0
2020-04-12,53.0
2020-04-13,58.0
2020-04-15,97.0
2020-04-16,59.60694384180214
2020-04-17,75.14013127736737
2020-04-18,52.0
2020-04-19,47.547022742820346
2020-04-20,48.59969807354552
2020-04-21,63.84528793901272
2020-04-22,82.0
2020-04-23,50.0
2020-04-24,36.0
2020-04-25,57.0
2020-04-26,0.0
2020-04-27,69.0
2020-04-28,66.0
2020-04-29,76.0
2020-04-30,54.0
2020-05-01,49.0
2020-05-02,48.0
2020-05-03,72.0
2020-05-04,43.0
2020-05-05,82.0
2020-05-06,73.0
2020-05-07,40.0
2020-05-08,53.0
2020-05-09,45.0
2020-05-10,36.0
2020-05-11,61.0
2020-05-12,68.0
2020-05-13,68.0
2020-05-14,79.0
2020-05-15,59.748038679043695
2020-05-16,51.0
2020-05-17,83.39760844871569
2020-05-18,100.0
2020-05-19,87.0
2020-05-20,74.0
2020-05-21,92.0
2020-05-22,64.0
2020-05-23,73.0
2020-05-24,84.32472444094076
2020-05-25,99.71130362341076
2020-05-26,100.0
2020-05-27,74.16529727730025
2020-05-28,72.0
2020-05-29,61.0
2020-05-30,50.0
2020-05-31,62.0
2020-06-01,57.0
2020-06-02,72.0
2020-06-03,49.502299600075396
2020-06-04,66.46150999240085
2020-06-05,55.0
2020-06-06,68.0
2020-06-07,68.0
2020-06-08,34.08429690374919
2020-06-09,51.0
2020-06-10,51.0
2020-06-11,66.0
2020-06-12,65.0
2020-06-13,61.0
2020-06-14,53.0
2020-06-15,64.0
2020-06-16,73.80607285508522
2020-06-17,56.0
2020-06-18,47.0
2020-06-19,49.98416752892231
2020-06-20,67.0
2020-06-21,49.0
2020-06-22,35.0447088328613
2020-06-23,29.67631763022618
2020-06-24,42.0
2020-06-25,48.19772338208068
2020-06-26,32.010989062852595
2020-06-27,0.0
2020-06-28,49.0
2020-06-29,55.0
2020-06-30,68.0
2020-07-01,53.0
2020-07-02,60.39542100912415
2020-07-03,100.0
2020-07-04,49.0
2020-07-05,65.0
2020-07-06,75.0
2020-07-07,67.0
2020-07-08,60.0
2020-07-09,67.0
2020-07-10,72.0
2020-07-11,72.0
2020-07-12,87.0
2020-07-13,65.0
2020-07-14,57.0
2020-07-15,60.0
2020-07-16,84.0
2020-07-17,67.0
2020-07-18,91.0
2020-07-19,60.0
2020-07-20,98.0
2020-07-21,84.0
2020-07-22,87.0
2020-07-23,59.0
2020-07-24,69.0
2020-07-25,87.0
2020-07-26,85.0
2020-07-27,74.0
2020-07-28,53.0
2020-07-29,67.0
2020-07-30,49.0
2020-07-31,0.0
2020-08-01,45.0
2020-08-02,51.1581227109202
2020-08-03,38.0
2020-08-04,44.0
2020-08-05,45.0
2020-08-06,72.0
2020-08-07,62.0
2020-08-08,78.0
2020-08-09,60.0
2020-08-10,78.0
2020-08-11,53.0
2020-08-12,65.0
2020-08-13,58.0
2020-08-14,84.12405935175822
2020-08-15,68.0
2020-08-16,68.0
2020-08-17,43.0
2020-08-18,72.0
2020-08-19,41.0
2020-08-20,47.0
2020-08-21,0.0
2020-08-22,48.0
2020-08-23,58.80702517807368
2020-08-24,39.02924271347733
2020-08-25,42.0
2020-08-26,63.85523559641678
2020-08-27,68.2206643090773
2020-08-28,62.427159879642716
2020-08-29,60.74636878999807
2020-08-30,0.0
2020-08-31,64.0
2020-09-01,61.0
2020-09-02,60.0
2020-09-03,52.108235437400715
2020-09-04,68.85258666866886
2020-09-05,45.0
2020-09-06,38.85122538562137
2020-09-07,35.0
2020-09-08,51.0
2020-09-09,60.0
2020-09-10,46.0
2020-09-11,35.0
2020-09-12,60.0
2020-09-13,47.8788203600248
2020-09-14,71.0
2020-09-15,69.0
2020-09-16,47.0
2020-09-17,59.16174017128778
2020-09-18,84.80827179088229
2020-09-19,100.0
2020-09-20,95.0
2020-09-21,119.09690029248694
2020-09-22,0.0
2020-09-23,76.0
2020-09-24,0.0
2020-09-25,63.89737135974096
2020-09-26,0.0
2020-09-27,76.0
2020-09-28,68.42393509646564
2020-09-29,61.938250303654826
2020-09-30,46.98500062026472
2020-10-01,47.39433735886161
2020-10-02,53.01217190185745
2020-10-03,0.0
2020-10-04,67.0
2020-10-05,59.0
2020-10-06,0.0
2020-10-07,71.0
