date,rashes
2020-03-16,66.0
2020-03-17,86.0
2020-03-18,37.0
2020-03-19,58.0
2020-03-20,64.0
2020-03-21,48.0
2020-03-22,94.0
2020-03-23,99.0
2020-03-24,91.0
2020-03-25,74.0
2020-03-26,80.0
2020-03-27,85.0
2020-03-28,95.0
2020-03-29,88.0
2020-03-30,98.0
2020-03-31,70.0
2020-04-01,77.0
2020-04-02,100.0
2020-04-03,73.0
2020-04-04,72.0
2020-04-05,53.0
2020-04-06,73.0
2020-04-07,86.0
2020-04-08,64.0
2020-04-09,66.0
2020-04-10,70.0
2020-04-11,74.0
2020-04-12,70.0
2020-04-13,99.0
2020-04-15,57.0
2020-04-16,83.0
2020-04-17,77.0
2020-04-18,92.0
2020-04-19,75.0
2020-04-20,66.0
2020-04-21,64.0
2020-04-22,84.0
2020-04-23,85.18682267670223
2020-04-24,100.38255440663697
2020-04-25,100.0
2020-04-26,86.6781972104525
2020-04-27,100.0
2020-04-28,61.0
2020-04-29,61.0
2020-04-30,64.0
2020-05-01,85.0
2020-05-02,94.0
2020-05-03,60.0
2020-05-04,55.0
2020-05-05,69.0
2020-05-06,100.0
2020-05-07,74.0
2020-05-08,83.48153630096033
2020-05-09,100.0
2020-05-10,88.0
2020-05-11,85.38047255515946
2020-05-12,100.0
2020-05-13,43.0
2020-05-14,44.0
2020-05-15,38.0
2020-05-16,46.0
2020-05-17,56.0
2020-05-18,54.0
2020-05-19,69.0
2020-05-20,62.0
2020-05-21,76.0
2020-05-22,81.0
2020-05-23,48.0
2020-05-24,62.0
2020-05-25,58.0
2020-05-26,56.0
2020-05-27,53.0
2020-05-28,31.0
2020-05-29,48.0
2020-05-30,35.0
2020-05-31,66.0
2020-06-01,57.0
2020-06-02,65.0
2020-06-03,45.0
2020-06-04,59.0
2020-06-05,47.0
2020-06-06,57.0
2020-06-07,51.0
2020-06-08,54.0
2020-06-09,34.0
2020-06-10,45.0
2020-06-11,42.20206541496166
2020-06-12,51.0
2020-06-13,48.0
2020-06-14,57.0
