date,cough
2020-03-16,96
2020-03-17,82
2020-03-18,87
2020-03-19,75
2020-03-20,71
2020-03-21,82
2020-03-22,95
2020-03-23,100
2020-03-24,89
2020-03-25,84
2020-03-26,94
2020-03-27,72
2020-03-28,77
2020-03-29,69
2020-03-30,52
2020-03-31,49
2020-04-01,46
2020-04-02,50
2020-04-03,40
2020-04-04,45
2020-04-05,35
2020-04-06,38
2020-04-07,41
2020-04-08,36
2020-04-09,40
2020-04-10,44
2020-04-11,35
2020-04-12,31
2020-04-13,39
2020-04-14,30
2020-04-15,37
2020-04-16,87
2020-04-17,84
2020-04-18,93
2020-04-19,76
2020-04-20,100
2020-04-21,81
2020-04-22,68
2020-04-23,62
2020-04-24,77
2020-04-25,62
2020-04-26,68
2020-04-27,64
2020-04-28,53
2020-04-29,67
2020-04-30,48
2020-05-01,66
2020-05-02,63
2020-05-03,73
2020-05-04,58
2020-05-05,61
2020-05-06,52
2020-05-07,53
2020-05-08,50
2020-05-09,38
2020-05-10,38
2020-05-11,41
2020-05-12,45
2020-05-13,43
2020-05-14,37
2020-05-15,55
2020-05-16,53
2020-05-17,70
2020-05-18,100
2020-05-19,61
2020-05-20,71
2020-05-21,78
2020-05-22,83
2020-05-23,91
2020-05-24,79
2020-05-25,72
2020-05-26,78
2020-05-27,57
2020-05-28,95
2020-05-29,65
2020-05-30,58
2020-05-31,62
2020-06-01,78
2020-06-02,90
2020-06-03,86
2020-06-04,89
2020-06-05,69
2020-06-06,93
2020-06-07,66
2020-06-08,90
2020-06-09,69
2020-06-10,62
2020-06-11,81
2020-06-12,66
2020-06-13,96
2020-06-14,77
2020-06-15,93
2020-06-16,84
2020-06-17,45
2020-06-18,36
2020-06-19,53
2020-06-20,57
2020-06-21,66
2020-06-22,54
2020-06-23,58
2020-06-24,76
2020-06-25,83
2020-06-26,58
2020-06-27,81
2020-06-28,73
2020-06-29,70
2020-06-30,66
2020-07-01,76
2020-07-02,75
2020-07-03,70
2020-07-04,76
2020-07-05,100
2020-07-06,80
2020-07-07,81
2020-07-08,88
2020-07-09,87
2020-07-10,84
2020-07-11,90
2020-07-12,94
2020-07-13,83
2020-07-14,85
2020-07-15,94
2020-07-16,97
2020-07-17,66
2020-07-18,84
2020-07-19,87
2020-07-20,76
2020-07-21,99
2020-07-22,90
2020-07-23,100
2020-07-24,78
2020-07-25,88
2020-07-26,97
2020-07-27,86
2020-07-28,86
2020-07-29,79
2020-07-30,83
2020-07-31,93
2020-08-01,85
2020-08-02,75
2020-08-03,71
2020-08-04,73
2020-08-05,72
2020-08-06,67
2020-08-07,80
2020-08-08,66
2020-08-09,65
2020-08-10,61
2020-08-11,70
2020-08-12,55
2020-08-13,67
2020-08-14,51
2020-08-15,67
2020-08-16,71
2020-08-17,55
2020-08-18,92
2020-08-19,93
2020-08-20,88
2020-08-21,94
2020-08-22,70
2020-08-23,87
2020-08-24,80
2020-08-25,95
2020-08-26,85
2020-08-27,80
2020-08-28,93
2020-08-29,97
2020-08-30,84
2020-08-31,82
2020-09-01,73
2020-09-02,77
2020-09-03,59
2020-09-04,67
2020-09-05,100
2020-09-06,97
2020-09-07,77
2020-09-08,87
2020-09-09,82
2020-09-10,72
2020-09-11,85
2020-09-12,83
2020-09-13,74
2020-09-14,80
2020-09-15,87
2020-09-16,77
2020-09-17,85
2020-09-18,65
2020-09-19,99
2020-09-20,93
2020-09-21,92
2020-09-22,74
2020-09-23,70
2020-09-24,78
2020-09-25,100
2020-09-26,95
2020-09-27,52
2020-09-28,81
2020-09-29,87
2020-09-30,85
2020-10-01,82
2020-10-02,64
2020-10-03,91
2020-10-04,80
2020-10-05,74
2020-10-06,59
2020-10-07,89
2020-10-08,65
2020-10-09,97
2020-10-10,71
2020-10-11,82
2020-10-12,71
2020-10-13,80
2020-10-14,64
2020-10-15,58
2020-10-16,91
2020-10-17,72
2020-10-18,83
2020-10-19,94
2020-10-20,85
2020-10-21,89
2020-10-22,88
2020-10-23,73
2020-10-24,73
2020-10-25,84
2020-10-26,66
2020-10-27,93
2020-10-28,76
2020-10-29,69
2020-10-30,67
2020-10-31,86
2020-11-01,90
2020-11-02,80
2020-11-03,92
2020-11-04,72
2020-11-05,85
2020-11-06,60
2020-11-07,78
2020-11-08,68
2020-11-09,89
2020-11-10,75
2020-11-11,72
2020-11-12,86
2020-11-13,71
2020-11-14,79
2020-11-15,82
2020-11-16,67
2020-11-17,68
2020-11-18,100
2020-11-19,56
2020-11-20,48
2020-11-21,55
2020-11-22,77
2020-11-23,61
2020-11-24,72
2020-11-25,70
2020-11-26,56
2020-11-27,64
2020-11-28,80
2020-11-29,100
2020-11-30,66
2020-12-01,66
2020-12-02,84
2020-12-03,71
2020-12-04,64
2020-12-05,84
2020-12-06,78
2020-12-07,72
2020-12-08,90
2020-12-09,80
2020-12-10,78
2020-12-11,55
2020-12-12,74
2020-12-13,49
2020-12-14,73
2020-12-15,73
2020-12-16,73
2020-12-17,59
2020-12-18,59
2020-12-19,67
2020-12-20,84
2020-12-21,55
2020-12-22,71
2020-12-23,67
2020-12-24,78
2020-12-25,78
2020-12-26,89
2020-12-27,100
2020-12-28,87
2020-12-29,88
2020-12-30,76
2020-12-31,77
2021-01-01,84
2021-01-02,98
2021-01-03,78
2021-01-04,69
2021-01-05,64
2021-01-06,87
2021-01-07,70
2021-01-08,73
2021-01-09,85
2021-01-10,83
2021-01-11,68
2021-01-12,71
2021-01-13,69
2021-01-14,75
2021-01-15,79
2021-01-16,75
2021-01-17,88
2021-01-18,63
2021-01-19,87
2021-01-20,89
2021-01-21,80
2021-01-22,80
2021-01-23,91
2021-01-24,88
2021-01-25,74
2021-01-26,93
2021-01-27,91
2021-01-28,92
2021-01-29,87
2021-01-30,76
2021-01-31,77
2021-02-01,79
2021-02-02,81
2021-02-03,90
2021-02-04,90
2021-02-05,100
2021-02-06,74
2021-02-07,91
2021-02-08,73
2021-02-09,76
2021-02-10,91
2021-02-11,83
2021-02-12,80
2021-02-13,67
2021-02-14,77
2021-02-15,78
2021-02-16,73
2021-02-17,73
2021-02-18,84
2021-02-19,66
2021-02-20,62
2021-02-21,46
2021-02-22,61
2021-02-23,65
2021-02-24,64
2021-02-25,58
2021-02-26,50
2021-02-27,72
2021-02-28,59
2021-03-01,60
2021-03-02,57
2021-03-03,47
2021-03-04,65
2021-03-05,57
2021-03-06,73
2021-03-07,65
2021-03-08,78
2021-03-09,74
2021-03-10,62
2021-03-11,71
2021-03-12,62
2021-03-13,100
2021-03-14,76
2021-03-15,70
2021-03-16,70
2021-03-17,71
2021-03-18,84
2021-03-19,84
2021-03-20,92
