date,ecq
2020-03-16,0
2020-03-17,0
2020-03-18,5
2020-03-19,0
2020-03-20,5
2020-03-21,4
2020-03-22,4
2020-03-23,5
2020-03-24,6
2020-03-25,11
2020-03-26,8
2020-03-27,12
2020-03-28,11
2020-03-29,12
2020-03-30,17
2020-03-31,23
2020-04-01,26
2020-04-02,33
2020-04-03,37
2020-04-04,39
2020-04-05,43
2020-04-06,100
2020-04-07,98
2020-04-08,46
2020-04-09,29
2020-04-10,28
2020-04-11,29
2020-04-12,41
2020-04-13,54
2020-04-14,52
2020-04-15,63
2020-04-16,10
2020-04-17,9
2020-04-18,9
2020-04-19,12
2020-04-20,14
2020-04-21,15
2020-04-22,15
2020-04-23,30
2020-04-24,38
2020-04-25,13
2020-04-26,11
2020-04-27,16
2020-04-28,19
2020-04-29,16
2020-04-30,22
2020-05-01,17
2020-05-02,15
2020-05-03,13
2020-05-04,17
2020-05-05,16
2020-05-06,13
2020-05-07,34
2020-05-08,31
2020-05-09,32
2020-05-10,27
2020-05-11,68
2020-05-12,100
2020-05-13,51
2020-05-14,30
2020-05-15,24
2020-05-16,23
2020-05-17,78
2020-05-18,74
2020-05-19,57
2020-05-20,46
2020-05-21,65
2020-05-22,50
2020-05-23,37
2020-05-24,34
2020-05-25,46
2020-05-26,54
2020-05-27,45
2020-05-28,49
2020-05-29,45
2020-05-30,29
2020-05-31,27
2020-06-01,35
2020-06-02,26
2020-06-03,24
2020-06-04,21
2020-06-05,20
2020-06-06,18
2020-06-07,16
2020-06-08,24
2020-06-09,23
2020-06-10,27
2020-06-11,33
2020-06-12,51
2020-06-13,72
2020-06-14,71
2020-06-15,100
2020-06-16,47
2020-06-17,100
2020-06-18,62
2020-06-19,65
2020-06-20,40
2020-06-21,35
2020-06-22,52
2020-06-23,45
2020-06-24,34
2020-06-25,43
2020-06-26,48
2020-06-27,43
2020-06-28,37
2020-06-29,56
2020-06-30,89
2020-07-01,73
2020-07-02,48
2020-07-03,43
2020-07-04,29
2020-07-05,28
2020-07-06,65
2020-07-07,59
2020-07-08,62
2020-07-09,35
2020-07-10,34
2020-07-11,32
2020-07-12,37
2020-07-13,50
2020-07-14,51
2020-07-15,92
2020-07-16,69
2020-07-17,51
2020-07-18,4
2020-07-19,3
2020-07-20,4
2020-07-21,5
2020-07-22,6
2020-07-23,5
2020-07-24,6
2020-07-25,5
2020-07-26,7
2020-07-27,8
2020-07-28,7
2020-07-29,7
2020-07-30,8
2020-07-31,9
2020-08-01,13
2020-08-02,100
2020-08-03,55
2020-08-04,16
2020-08-05,8
2020-08-06,8
2020-08-07,6
2020-08-08,5
2020-08-09,4
2020-08-10,6
2020-08-11,6
2020-08-12,6
2020-08-13,9
2020-08-14,7
2020-08-15,7
2020-08-16,8
2020-08-17,24
2020-08-18,100
2020-08-19,49
2020-08-20,40
2020-08-21,26
2020-08-22,22
2020-08-23,22
2020-08-24,28
2020-08-25,28
2020-08-26,24
2020-08-27,22
2020-08-28,29
2020-08-29,0
2020-08-30,20
2020-08-31,40
2020-09-01,43
2020-09-02,21
2020-09-03,21
2020-09-04,21
2020-09-05,18
2020-09-06,16
2020-09-07,28
2020-09-08,25
2020-09-09,15
2020-09-10,19
2020-09-11,18
2020-09-12,18
2020-09-13,17
2020-09-14,22
2020-09-15,19
2020-09-16,19
2020-09-17,18
2020-09-18,71
2020-09-19,47
2020-09-20,0
2020-09-21,66
2020-09-22,82
2020-09-23,78
2020-09-24,85
2020-09-25,73
2020-09-26,0
2020-09-27,74
2020-09-28,88
2020-09-29,91
2020-09-30,92
2020-10-01,70
2020-10-02,52
2020-10-03,0
2020-10-04,0
2020-10-05,78
2020-10-06,100
2020-10-07,85
2020-10-08,92
2020-10-09,86
2020-10-10,0
2020-10-11,0
2020-10-12,67
2020-10-13,70
2020-10-14,59
2020-10-15,57
2020-10-16,84
2020-10-17,0
2020-10-18,57
2020-10-19,83
2020-10-20,100
2020-10-21,87
2020-10-22,88
2020-10-23,0
2020-10-24,57
2020-10-25,0
2020-10-26,64
2020-10-27,71
2020-10-28,0
2020-10-29,56
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,61
2020-11-03,85
2020-11-04,64
2020-11-05,63
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,45
2020-11-10,60
2020-11-11,88
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,90
2020-11-17,51
2020-11-18,0
2020-11-19,42
2020-11-20,52
