date,face shield
2020-03-16,0
2020-03-17,0
2020-03-18,57
2020-03-19,53
2020-03-20,42
2020-03-21,0
2020-03-22,70
2020-03-23,77
2020-03-24,89
2020-03-25,55
2020-03-26,69
2020-03-27,100
2020-03-28,71
2020-03-29,58
2020-03-30,82
2020-03-31,58
2020-04-01,51
2020-04-02,89
2020-04-03,0
2020-04-04,88
2020-04-05,69
2020-04-06,67
2020-04-07,97
2020-04-08,57
2020-04-09,63
2020-04-10,51
2020-04-11,72
2020-04-12,0
2020-04-13,72
2020-04-14,64
2020-04-15,72
2020-04-16,100
2020-04-17,72
2020-04-18,53
2020-04-19,58
2020-04-20,51
2020-04-21,84
2020-04-22,63
2020-04-23,41
2020-04-24,36
2020-04-25,44
2020-04-26,38
2020-04-27,48
2020-04-28,39
2020-04-29,57
2020-04-30,64
2020-05-01,56
2020-05-02,52
2020-05-03,53
2020-05-04,55
2020-05-05,67
2020-05-06,74
2020-05-07,77
2020-05-08,46
2020-05-09,50
2020-05-10,0
2020-05-11,57
2020-05-12,38
2020-05-13,45
2020-05-14,59
2020-05-15,63
2020-05-16,80
2020-05-17,60
2020-05-18,70
2020-05-19,80
2020-05-20,64
2020-05-21,100
2020-05-22,84
2020-05-23,63
2020-05-24,57
2020-05-25,65
2020-05-26,59
2020-05-27,63
2020-05-28,51
2020-05-29,72
2020-05-30,64
2020-05-31,81
2020-06-01,82
2020-06-02,53
2020-06-03,97
2020-06-04,71
2020-06-05,65
2020-06-06,68
2020-06-07,38
2020-06-08,71
2020-06-09,59
2020-06-10,41
2020-06-11,43
2020-06-12,36
2020-06-13,76
2020-06-14,0
2020-06-15,69
2020-06-16,84
2020-06-17,57
2020-06-18,51
2020-06-19,58
2020-06-20,62
2020-06-21,36
2020-06-22,56
2020-06-23,51
2020-06-24,56
2020-06-25,70
2020-06-26,71
2020-06-27,73
2020-06-28,65
2020-06-29,66
2020-06-30,61
2020-07-01,67
2020-07-02,68
2020-07-03,63
2020-07-04,90
2020-07-05,60
2020-07-06,87
2020-07-07,55
2020-07-08,81
2020-07-09,66
2020-07-10,83
2020-07-11,87
2020-07-12,72
2020-07-13,77
2020-07-14,64
2020-07-15,78
2020-07-16,100
2020-07-17,96
2020-07-18,10
2020-07-19,9
2020-07-20,8
2020-07-21,8
2020-07-22,8
2020-07-23,6
2020-07-24,5
2020-07-25,6
2020-07-26,6
2020-07-27,4
2020-07-28,2
2020-07-29,4
2020-07-30,5
2020-07-31,30
2020-08-01,21
2020-08-02,14
2020-08-03,17
2020-08-04,22
2020-08-05,62
2020-08-06,100
2020-08-07,73
2020-08-08,64
2020-08-09,56
2020-08-10,44
2020-08-11,38
2020-08-12,45
2020-08-13,40
2020-08-14,50
2020-08-15,46
2020-08-16,34
2020-08-17,30
2020-08-18,100
2020-08-19,98
2020-08-20,89
2020-08-21,95
2020-08-22,85
2020-08-23,73
2020-08-24,73
2020-08-25,63
2020-08-26,58
2020-08-27,63
2020-08-28,60
2020-08-29,53
2020-08-30,47
2020-08-31,37
2020-09-01,52
2020-09-02,57
2020-09-03,38
2020-09-04,33
2020-09-05,28
2020-09-06,33
2020-09-07,31
2020-09-08,37
2020-09-09,32
2020-09-10,27
2020-09-11,25
2020-09-12,28
2020-09-13,24
2020-09-14,29
2020-09-15,31
2020-09-16,21
2020-09-17,30
2020-09-18,82
2020-09-19,68
2020-09-20,78
2020-09-21,92
2020-09-22,61
2020-09-23,59
2020-09-24,90
2020-09-25,54
2020-09-26,71
2020-09-27,86
2020-09-28,64
2020-09-29,69
2020-09-30,65
2020-10-01,69
2020-10-02,73
2020-10-03,85
2020-10-04,73
2020-10-05,49
2020-10-06,89
2020-10-07,95
2020-10-08,83
2020-10-09,60
2020-10-10,54
2020-10-11,53
2020-10-12,70
2020-10-13,38
2020-10-14,57
2020-10-15,65
2020-10-16,47
2020-10-17,74
2020-10-18,100
2020-10-19,40
2020-10-20,93
2020-10-21,53
2020-10-22,58
2020-10-23,53
2020-10-24,52
2020-10-25,51
2020-10-26,49
2020-10-27,71
2020-10-28,89
2020-10-29,100
2020-10-30,77
2020-10-31,59
2020-11-01,61
2020-11-02,60
2020-11-03,79
2020-11-04,60
2020-11-05,43
2020-11-06,73
2020-11-07,72
2020-11-08,75
2020-11-09,55
2020-11-10,48
2020-11-11,58
2020-11-12,41
2020-11-13,42
2020-11-14,41
2020-11-15,50
2020-11-16,61
2020-11-17,83
2020-11-18,61
2020-11-19,30
2020-11-20,26
