date,fever
2020-03-16,97
2020-03-17,94
2020-03-18,94
2020-03-19,90
2020-03-20,95
2020-03-21,100
2020-03-22,82
2020-03-23,69
2020-03-24,79
2020-03-25,76
2020-03-26,82
2020-03-27,78
2020-03-28,65
2020-03-29,68
2020-03-30,63
2020-03-31,61
2020-04-01,52
2020-04-02,58
2020-04-03,51
2020-04-04,57
2020-04-05,50
2020-04-06,48
2020-04-07,45
2020-04-08,40
2020-04-09,46
2020-04-10,45
2020-04-11,55
2020-04-12,52
2020-04-13,53
2020-04-14,53
2020-04-15,52
2020-04-16,84
2020-04-17,100
2020-04-18,83
2020-04-19,94
2020-04-20,87
2020-04-21,81
2020-04-22,75
2020-04-23,79
2020-04-24,75
2020-04-25,86
2020-04-26,79
2020-04-27,72
2020-04-28,77
2020-04-29,58
2020-04-30,76
2020-05-01,80
2020-05-02,76
2020-05-03,66
2020-05-04,65
2020-05-05,63
2020-05-06,73
2020-05-07,54
2020-05-08,65
2020-05-09,55
2020-05-10,58
2020-05-11,61
2020-05-12,59
2020-05-13,69
2020-05-14,60
2020-05-15,65
2020-05-16,57
2020-05-17,73
2020-05-18,70
2020-05-19,78
2020-05-20,80
2020-05-21,74
2020-05-22,82
2020-05-23,100
2020-05-24,91
2020-05-25,73
2020-05-26,75
2020-05-27,71
2020-05-28,69
2020-05-29,63
2020-05-30,58
2020-05-31,78
2020-06-01,70
2020-06-02,72
2020-06-03,78
2020-06-04,77
2020-06-05,67
2020-06-06,84
2020-06-07,69
2020-06-08,76
2020-06-09,65
2020-06-10,64
2020-06-11,60
2020-06-12,87
2020-06-13,78
2020-06-14,92
2020-06-15,59
2020-06-16,74
2020-06-17,59
2020-06-18,63
2020-06-19,53
2020-06-20,56
2020-06-21,56
2020-06-22,66
2020-06-23,62
2020-06-24,63
2020-06-25,65
2020-06-26,57
2020-06-27,70
2020-06-28,59
2020-06-29,64
2020-06-30,70
2020-07-01,72
2020-07-02,85
2020-07-03,63
2020-07-04,73
2020-07-05,88
2020-07-06,77
2020-07-07,83
2020-07-08,80
2020-07-09,95
2020-07-10,73
2020-07-11,86
2020-07-12,97
2020-07-13,80
2020-07-14,100
2020-07-15,92
2020-07-16,100
2020-07-17,92
2020-07-18,84
2020-07-19,86
2020-07-20,99
2020-07-21,98
2020-07-22,91
2020-07-23,83
2020-07-24,100
2020-07-25,97
2020-07-26,82
2020-07-27,83
2020-07-28,84
2020-07-29,98
2020-07-30,81
2020-07-31,82
2020-08-01,80
2020-08-02,91
2020-08-03,73
2020-08-04,87
2020-08-05,75
2020-08-06,78
2020-08-07,78
2020-08-08,93
2020-08-09,76
2020-08-10,80
2020-08-11,68
2020-08-12,81
2020-08-13,83
2020-08-14,72
2020-08-15,77
2020-08-16,64
2020-08-17,66
2020-08-18,81
2020-08-19,84
2020-08-20,79
2020-08-21,100
2020-08-22,100
2020-08-23,90
2020-08-24,88
2020-08-25,79
2020-08-26,80
2020-08-27,74
2020-08-28,51
2020-08-29,76
2020-08-30,90
2020-08-31,83
2020-09-01,74
2020-09-02,73
2020-09-03,84
2020-09-04,60
2020-09-05,75
2020-09-06,72
2020-09-07,69
2020-09-08,74
2020-09-09,70
2020-09-10,72
2020-09-11,56
2020-09-12,73
2020-09-13,65
2020-09-14,55
2020-09-15,58
2020-09-16,54
2020-09-17,54
2020-09-18,89
2020-09-19,97
2020-09-20,87
2020-09-21,72
2020-09-22,74
2020-09-23,100
2020-09-24,90
2020-09-25,74
2020-09-26,73
2020-09-27,76
2020-09-28,89
2020-09-29,78
2020-09-30,68
2020-10-01,69
2020-10-02,74
2020-10-03,75
2020-10-04,81
2020-10-05,67
2020-10-06,63
2020-10-07,83
2020-10-08,68
2020-10-09,66
2020-10-10,58
2020-10-11,68
2020-10-12,64
2020-10-13,69
2020-10-14,59
2020-10-15,72
2020-10-16,63
2020-10-17,73
2020-10-18,88
2020-10-19,77
2020-10-20,76
2020-10-21,76
2020-10-22,63
2020-10-23,84
2020-10-24,59
2020-10-25,95
2020-10-26,94
2020-10-27,87
2020-10-28,86
2020-10-29,96
2020-10-30,83
2020-10-31,100
2020-11-01,88
2020-11-02,80
2020-11-03,74
2020-11-04,75
2020-11-05,72
2020-11-06,79
2020-11-07,84
2020-11-08,77
2020-11-09,84
2020-11-10,81
2020-11-11,64
2020-11-12,66
2020-11-13,71
2020-11-14,97
2020-11-15,74
2020-11-16,83
2020-11-17,92
2020-11-18,75
2020-11-19,81
2020-11-20,74
2020-11-21,79
2020-11-22,79
2020-11-23,80
2020-11-24,81
2020-11-25,88
2020-11-26,79
2020-11-27,75
2020-11-28,93
2020-11-29,75
2020-11-30,100
2020-12-01,83
2020-12-02,82
2020-12-03,75
2020-12-04,70
2020-12-05,87
2020-12-06,73
2020-12-07,81
2020-12-08,89
2020-12-09,87
2020-12-10,82
2020-12-11,80
2020-12-12,94
2020-12-13,71
2020-12-14,84
2020-12-15,71
2020-12-16,74
2020-12-17,76
2020-12-18,73
2020-12-19,64
2020-12-20,85
2020-12-21,86
2020-12-22,85
2020-12-23,70
2020-12-24,59
2020-12-25,87
2020-12-26,89
2020-12-27,86
2020-12-28,93
2020-12-29,91
2020-12-30,100
2020-12-31,71
2021-01-01,85
2021-01-02,97
2021-01-03,95
2021-01-04,82
2021-01-05,85
2021-01-06,80
2021-01-07,80
2021-01-08,77
2021-01-09,90
2021-01-10,90
2021-01-11,84
2021-01-12,78
2021-01-13,71
2021-01-14,62
2021-01-15,78
2021-01-16,74
2021-01-17,84
2021-01-18,72
2021-01-19,82
2021-01-20,68
2021-01-21,80
2021-01-22,83
2021-01-23,83
2021-01-24,66
2021-01-25,84
2021-01-26,79
2021-01-27,92
2021-01-28,71
2021-01-29,83
2021-01-30,100
2021-01-31,100
2021-02-01,76
2021-02-02,76
2021-02-03,90
2021-02-04,83
2021-02-05,67
2021-02-06,87
2021-02-07,99
2021-02-08,71
2021-02-09,90
2021-02-10,79
2021-02-11,74
2021-02-12,80
2021-02-13,100
2021-02-14,93
2021-02-15,74
2021-02-16,92
2021-02-17,91
2021-02-18,85
2021-02-19,59
2021-02-20,64
2021-02-21,52
2021-02-22,53
2021-02-23,49
2021-02-24,47
2021-02-25,66
2021-02-26,61
2021-02-27,77
2021-02-28,58
2021-03-01,55
2021-03-02,53
2021-03-03,46
2021-03-04,54
2021-03-05,46
2021-03-06,65
2021-03-07,65
2021-03-08,72
2021-03-09,74
2021-03-10,60
2021-03-11,67
2021-03-12,70
2021-03-13,76
2021-03-14,84
2021-03-15,80
2021-03-16,70
2021-03-17,85
2021-03-18,100
2021-03-19,80
2021-03-20,82
