date,lagnat
2020-03-16,50
2020-03-17,71
2020-03-18,79
2020-03-19,50
2020-03-20,51
2020-03-21,100
2020-03-22,72
2020-03-23,52
2020-03-24,57
2020-03-25,46
2020-03-26,58
2020-03-27,50
2020-03-28,66
2020-03-29,0
2020-03-30,46
2020-03-31,0
2020-04-01,69
2020-04-02,46
2020-04-03,50
2020-04-04,0
2020-04-05,0
2020-04-06,65
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,52
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,80
2020-04-17,70
2020-04-18,100
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,96
2020-04-23,57
2020-04-24,0
2020-04-25,0
2020-04-26,65
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,78
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,68
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,100
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,89
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,88
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,85
2020-06-17,0
2020-06-18,44
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,45
2020-06-25,0
2020-06-26,0
2020-06-27,100
2020-06-28,50
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,49
2020-07-03,40
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,46
2020-07-08,0
2020-07-09,71
2020-07-10,51
2020-07-11,51
2020-07-12,58
2020-07-13,49
2020-07-14,42
2020-07-15,56
2020-07-16,55
2020-07-17,0
2020-07-18,59
2020-07-19,87
2020-07-20,0
2020-07-21,51
2020-07-22,65
2020-07-23,58
2020-07-24,63
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,100
2020-07-29,90
2020-07-30,0
2020-07-31,61
2020-08-01,0
2020-08-02,0
2020-08-03,52
2020-08-04,0
2020-08-05,58
2020-08-06,57
2020-08-07,81
2020-08-08,0
2020-08-09,71
2020-08-10,61
2020-08-11,49
2020-08-12,59
2020-08-13,57
2020-08-14,71
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,82
2020-08-21,0
2020-08-22,79
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,86
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,68
2020-09-08,99
2020-09-09,0
2020-09-10,0
2020-09-11,100
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,100
2020-09-21,0
2020-09-22,85
2020-09-23,61
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,56
2020-09-28,0
2020-09-29,43
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,56
2020-10-12,0
2020-10-13,0
2020-10-14,71
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,63
2020-10-22,0
2020-10-23,69
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,77
2020-10-31,100
2020-11-01,0
2020-11-02,100
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,93
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,70
2020-11-19,0
2020-11-20,0
2020-11-21,60
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,66
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,64
2020-12-10,0
2020-12-11,0
2020-12-12,100
2020-12-13,0
2020-12-14,0
2020-12-15,72
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,100
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,79
2021-01-07,0
2021-01-08,99
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,66
2021-01-13,94
2021-01-14,84
2021-01-15,0
2021-01-16,75
2021-01-17,0
2021-01-18,0
2021-01-19,60
2021-01-20,57
2021-01-21,0
2021-01-22,54
2021-01-23,100
2021-01-24,0
2021-01-25,56
2021-01-26,62
2021-01-27,56
2021-01-28,0
2021-01-29,0
2021-01-30,76
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,60
2021-02-04,73
2021-02-05,0
2021-02-06,64
2021-02-07,70
2021-02-08,0
2021-02-09,56
2021-02-10,0
2021-02-11,0
2021-02-12,74
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,54
2021-02-19,0
2021-02-20,0
2021-02-21,100
2021-02-22,51
2021-02-23,52
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,59
2021-02-28,58
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,50
2021-03-09,76
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,94
2021-03-14,70
2021-03-15,46
2021-03-16,88
2021-03-17,50
2021-03-18,52
2021-03-19,67
2021-03-20,69
