date,social distancing
2020-03-16,100
2020-03-17,64
2020-03-18,59
2020-03-19,50
2020-03-20,52
2020-03-21,33
2020-03-22,44
2020-03-23,36
2020-03-24,48
2020-03-25,44
2020-03-26,23
2020-03-27,39
2020-03-28,26
2020-03-29,26
2020-03-30,31
2020-03-31,26
2020-04-01,24
2020-04-02,25
2020-04-03,19
2020-04-04,22
2020-04-05,19
2020-04-06,22
2020-04-07,24
2020-04-08,20
2020-04-09,17
2020-04-10,0
2020-04-11,17
2020-04-12,18
2020-04-13,25
2020-04-14,26
2020-04-15,30
2020-04-16,57
2020-04-17,80
2020-04-18,79
2020-04-19,0
2020-04-20,62
2020-04-21,80
2020-04-22,69
2020-04-23,61
2020-04-24,52
2020-04-25,50
2020-04-26,0
2020-04-27,63
2020-04-28,49
2020-04-29,55
2020-04-30,92
2020-05-01,51
2020-05-02,68
2020-05-03,54
2020-05-04,58
2020-05-05,52
2020-05-06,78
2020-05-07,83
2020-05-08,100
2020-05-09,61
2020-05-10,59
2020-05-11,68
2020-05-12,70
2020-05-13,70
2020-05-14,94
2020-05-15,77
2020-05-16,88
2020-05-17,62
2020-05-18,100
2020-05-19,89
2020-05-20,100
2020-05-21,63
2020-05-22,60
2020-05-23,66
2020-05-24,40
2020-05-25,58
2020-05-26,71
2020-05-27,79
2020-05-28,74
2020-05-29,51
2020-05-30,54
2020-05-31,65
2020-06-01,85
2020-06-02,61
2020-06-03,73
2020-06-04,66
2020-06-05,54
2020-06-06,55
2020-06-07,37
2020-06-08,59
2020-06-09,50
2020-06-10,53
2020-06-11,55
2020-06-12,32
2020-06-13,31
2020-06-14,61
2020-06-15,57
2020-06-16,44
2020-06-17,79
2020-06-18,48
2020-06-19,69
2020-06-20,75
2020-06-21,50
2020-06-22,70
2020-06-23,53
2020-06-24,54
2020-06-25,67
2020-06-26,66
2020-06-27,48
2020-06-28,0
2020-06-29,78
2020-06-30,50
2020-07-01,49
2020-07-02,72
2020-07-03,43
2020-07-04,54
2020-07-05,0
2020-07-06,100
2020-07-07,62
2020-07-08,56
2020-07-09,74
2020-07-10,0
2020-07-11,64
2020-07-12,46
2020-07-13,50
2020-07-14,55
2020-07-15,53
2020-07-16,46
2020-07-17,0
2020-07-18,68
2020-07-19,0
2020-07-20,69
2020-07-21,75
2020-07-22,77
2020-07-23,68
2020-07-24,0
2020-07-25,80
2020-07-26,0
2020-07-27,72
2020-07-28,100
2020-07-29,76
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,88
2020-08-03,85
2020-08-04,78
2020-08-05,76
