date,ubo
2020-03-16,91
2020-03-17,76
2020-03-18,72
2020-03-19,76
2020-03-20,92
2020-03-21,88
2020-03-22,47
2020-03-23,88
2020-03-24,74
2020-03-25,87
2020-03-26,100
2020-03-27,74
2020-03-28,86
2020-03-29,46
2020-03-30,44
2020-03-31,44
2020-04-01,49
2020-04-02,83
2020-04-03,30
2020-04-04,46
2020-04-05,0
2020-04-06,38
2020-04-07,0
2020-04-08,48
2020-04-09,56
2020-04-10,0
2020-04-11,54
2020-04-12,42
2020-04-13,57
2020-04-14,43
2020-04-15,38
2020-04-16,76
2020-04-17,0
2020-04-18,76
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,78
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,100
2020-04-28,69
2020-04-29,92
2020-04-30,67
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,70
2020-05-05,0
2020-05-06,0
2020-05-07,69
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,73
2020-05-19,60
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,79
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,74
2020-06-03,0
2020-06-04,0
2020-06-05,79
2020-06-06,65
2020-06-07,73
2020-06-08,0
2020-06-09,58
2020-06-10,50
2020-06-11,66
2020-06-12,82
2020-06-13,64
2020-06-14,100
2020-06-15,0
2020-06-16,50
2020-06-17,58
2020-06-18,0
2020-06-19,42
2020-06-20,41
2020-06-21,50
2020-06-22,53
2020-06-23,37
2020-06-24,68
2020-06-25,0
2020-06-26,64
2020-06-27,62
2020-06-28,100
2020-06-29,59
2020-06-30,47
2020-07-01,59
2020-07-02,42
2020-07-03,57
2020-07-04,70
2020-07-05,41
2020-07-06,83
2020-07-07,43
2020-07-08,80
2020-07-09,55
2020-07-10,50
2020-07-11,72
2020-07-12,86
2020-07-13,48
2020-07-14,56
2020-07-15,46
2020-07-16,45
2020-07-17,55
2020-07-18,80
2020-07-19,61
2020-07-20,66
2020-07-21,59
2020-07-22,62
2020-07-23,44
2020-07-24,60
2020-07-25,0
2020-07-26,74
2020-07-27,56
2020-07-28,57
2020-07-29,95
2020-07-30,0
2020-07-31,58
2020-08-01,100
2020-08-02,62
2020-08-03,51
2020-08-04,67
2020-08-05,78
2020-08-06,53
2020-08-07,53
2020-08-08,46
2020-08-09,55
2020-08-10,77
2020-08-11,0
2020-08-12,40
2020-08-13,40
2020-08-14,44
2020-08-15,0
2020-08-16,69
2020-08-17,0
2020-08-18,0
2020-08-19,58
2020-08-20,54
2020-08-21,57
2020-08-22,68
2020-08-23,0
2020-08-24,81
2020-08-25,64
2020-08-26,63
2020-08-27,61
2020-08-28,0
2020-08-29,66
2020-08-30,83
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,57
2020-09-04,46
2020-09-05,57
2020-09-06,0
2020-09-07,100
2020-09-08,0
2020-09-09,61
2020-09-10,44
2020-09-11,78
2020-09-12,64
2020-09-13,64
2020-09-14,48
2020-09-15,50
2020-09-16,0
2020-09-17,78
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,54
2020-09-24,76
2020-09-25,100
2020-09-26,0
2020-09-27,84
2020-09-28,0
2020-09-29,66
2020-09-30,0
2020-10-01,62
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,58
2020-10-06,75
2020-10-07,55
2020-10-08,56
2020-10-09,95
2020-10-10,0
2020-10-11,0
2020-10-12,77
2020-10-13,82
2020-10-14,57
2020-10-15,60
2020-10-16,0
2020-10-17,0
2020-10-18,80
2020-10-19,0
2020-10-20,55
2020-10-21,95
2020-10-22,45
2020-10-23,100
2020-10-24,65
2020-10-25,0
2020-10-26,54
2020-10-27,60
2020-10-28,50
2020-10-29,0
2020-10-30,52
2020-10-31,80
2020-11-01,83
2020-11-02,75
2020-11-03,50
2020-11-04,74
2020-11-05,47
2020-11-06,54
2020-11-07,0
2020-11-08,80
2020-11-09,46
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,88
2020-11-14,68
2020-11-15,0
2020-11-16,0
2020-11-17,74
2020-11-18,84
2020-11-19,0
2020-11-20,0
2020-11-21,79
2020-11-22,74
2020-11-23,51
2020-11-24,58
2020-11-25,71
2020-11-26,81
2020-11-27,55
2020-11-28,0
2020-11-29,100
2020-11-30,68
2020-12-01,55
2020-12-02,76
2020-12-03,55
2020-12-04,78
2020-12-05,71
2020-12-06,59
2020-12-07,59
2020-12-08,78
2020-12-09,65
2020-12-10,0
2020-12-11,0
2020-12-12,55
2020-12-13,82
2020-12-14,0
2020-12-15,61
2020-12-16,89
2020-12-17,62
2020-12-18,52
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,49
2020-12-23,0
2020-12-24,67
2020-12-25,0
2020-12-26,48
2020-12-27,92
2020-12-28,64
2020-12-29,100
2020-12-30,64
2020-12-31,0
2021-01-01,0
2021-01-02,74
2021-01-03,0
2021-01-04,52
2021-01-05,55
2021-01-06,55
2021-01-07,56
2021-01-08,50
2021-01-09,74
2021-01-10,96
2021-01-11,61
2021-01-12,60
2021-01-13,55
2021-01-14,0
2021-01-15,40
2021-01-16,58
2021-01-17,66
2021-01-18,59
2021-01-19,62
2021-01-20,96
2021-01-21,76
2021-01-22,87
2021-01-23,48
2021-01-24,0
2021-01-25,46
2021-01-26,73
2021-01-27,62
2021-01-28,67
2021-01-29,84
2021-01-30,73
2021-01-31,61
2021-02-01,47
2021-02-02,72
2021-02-03,62
2021-02-04,64
2021-02-05,51
2021-02-06,49
2021-02-07,100
2021-02-08,43
2021-02-09,58
2021-02-10,59
2021-02-11,64
2021-02-12,88
2021-02-13,55
2021-02-14,52
2021-02-15,0
2021-02-16,64
2021-02-17,56
2021-02-18,61
2021-02-19,46
2021-02-20,76
2021-02-21,66
2021-02-22,38
2021-02-23,0
2021-02-24,50
2021-02-25,100
2021-02-26,59
2021-02-27,45
2021-02-28,65
2021-03-01,49
2021-03-02,49
2021-03-03,56
2021-03-04,72
2021-03-05,38
2021-03-06,0
2021-03-07,56
2021-03-08,58
2021-03-09,77
2021-03-10,57
2021-03-11,53
2021-03-12,61
2021-03-13,78
2021-03-14,61
2021-03-15,70
2021-03-16,69
2021-03-17,76
2021-03-18,72
2021-03-19,68
