week,ecq
2020-03-15,1
2020-03-22,3
2020-03-29,9
2020-04-05,19
2020-04-12,19
2020-04-19,41
2020-04-26,34
2020-05-03,44
2020-05-10,100
2020-05-17,27
2020-05-24,20
2020-05-31,10
2020-06-07,15
2020-06-14,18
2020-06-21,5
2020-06-28,6
2020-07-05,5
2020-07-12,6
2020-07-19,5
2020-07-26,9
2020-08-02,29
2020-08-09,7
2020-08-16,8
2020-08-23,2
2020-08-30,3
2020-09-06,2
2020-09-13,2
2020-09-20,2
2020-09-27,2
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,2
2020-12-06,2
2020-12-13,1
2020-12-20,1
2020-12-27,2
2021-01-03,1
2021-01-10,1
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,1
2021-02-21,1
2021-02-28,1
2021-03-07,2
2021-03-14,2
