week,face shield
2020-03-15,4
2020-03-22,8
2020-03-29,8
2020-04-05,6
2020-04-12,7
2020-04-19,6
2020-04-26,6
2020-05-03,8
2020-05-10,6
2020-05-17,11
2020-05-24,9
2020-05-31,10
2020-06-07,7
2020-06-14,10
2020-06-21,12
2020-06-28,13
2020-07-05,15
2020-07-12,17
2020-07-19,15
2020-07-26,21
2020-08-02,100
2020-08-09,89
2020-08-16,48
2020-08-23,29
2020-08-30,19
2020-09-06,14
2020-09-13,12
2020-09-20,10
2020-09-27,11
2020-10-04,11
2020-10-11,8
2020-10-18,9
2020-10-25,10
2020-11-01,8
2020-11-08,7
2020-11-15,8
2020-11-22,8
2020-11-29,8
2020-12-06,8
2020-12-13,17
2020-12-20,9
2020-12-27,6
2021-01-03,7
2021-01-10,7
2021-01-17,7
2021-01-24,6
2021-01-31,7
2021-02-07,7
2021-02-14,6
2021-02-21,6
2021-02-28,6
2021-03-07,6
2021-03-14,6
