week,fever
2020-03-15,100
2020-03-22,79
2020-03-29,59
2020-04-05,50
2020-04-12,50
2020-04-19,40
2020-04-26,38
2020-05-03,33
2020-05-10,32
2020-05-17,36
2020-05-24,33
2020-05-31,34
2020-06-07,32
2020-06-14,35
2020-06-21,37
2020-06-28,41
2020-07-05,47
2020-07-12,53
2020-07-19,56
2020-07-26,50
2020-08-02,50
2020-08-09,46
2020-08-16,44
2020-08-23,37
2020-08-30,38
2020-09-06,34
2020-09-13,32
2020-09-20,36
2020-09-27,35
2020-10-04,31
2020-10-11,32
2020-10-18,31
2020-10-25,34
2020-11-01,32
2020-11-08,31
2020-11-15,33
2020-11-22,37
2020-11-29,36
2020-12-06,36
2020-12-13,34
2020-12-20,34
2020-12-27,40
2021-01-03,38
2021-01-10,33
2021-01-17,34
2021-01-24,36
2021-01-31,35
2021-02-07,36
2021-02-14,35
2021-02-21,36
2021-02-28,36
2021-03-07,46
2021-03-14,54
