week,flu
2020-03-15,100
2020-03-22,58
2020-03-29,35
2020-04-05,31
2020-04-12,23
2020-04-19,22
2020-04-26,21
2020-05-03,15
2020-05-10,17
2020-05-17,26
2020-05-24,21
2020-05-31,21
2020-06-07,19
2020-06-14,22
2020-06-21,20
2020-06-28,27
2020-07-05,25
2020-07-12,28
2020-07-19,34
2020-07-26,32
2020-08-02,24
2020-08-09,21
2020-08-16,18
2020-08-23,16
2020-08-30,14
2020-09-06,12
2020-09-13,12
2020-09-20,11
2020-09-27,12
2020-10-04,9
2020-10-11,10
2020-10-18,9
2020-10-25,9
2020-11-01,10
2020-11-08,9
2020-11-15,9
2020-11-22,9
2020-11-29,9
2020-12-06,10
2020-12-13,9
2020-12-20,9
2020-12-27,11
2021-01-03,10
2021-01-10,11
2021-01-17,10
2021-01-24,10
2021-01-31,8
2021-02-07,8
2021-02-14,9
2021-02-21,16
2021-02-28,10
2021-03-07,12
2021-03-14,12
