week,lagnat
2020-03-15,100
2020-03-22,92
2020-03-29,71
2020-04-05,63
2020-04-12,61
2020-04-19,53
2020-04-26,40
2020-05-03,43
2020-05-10,32
2020-05-17,50
2020-05-24,47
2020-05-31,40
2020-06-07,46
2020-06-14,41
2020-06-21,71
2020-06-28,63
2020-07-05,76
2020-07-12,74
2020-07-19,86
2020-07-26,77
2020-08-02,72
2020-08-09,70
2020-08-16,47
2020-08-23,42
2020-08-30,46
2020-09-06,57
2020-09-13,44
2020-09-20,55
2020-09-27,43
2020-10-04,43
2020-10-11,49
2020-10-18,56
2020-10-25,56
2020-11-01,42
2020-11-08,50
2020-11-15,56
2020-11-22,55
2020-11-29,54
2020-12-06,57
2020-12-13,50
2020-12-20,53
2020-12-27,62
2021-01-03,71
2021-01-10,69
2021-01-17,60
2021-01-24,64
2021-01-31,57
2021-02-07,58
2021-02-14,52
2021-02-21,72
2021-02-28,66
2021-03-07,73
2021-03-14,96
