week,masks
2020-03-15,71
2020-03-22,66
2020-03-29,76
2020-04-05,81
2020-04-12,72
2020-04-19,57
2020-04-26,58
2020-05-03,65
2020-05-10,65
2020-05-17,85
2020-05-24,100
2020-05-31,76
2020-06-07,73
2020-06-14,74
2020-06-21,52
2020-06-28,58
2020-07-05,70
2020-07-12,74
2020-07-19,78
2020-07-26,62
2020-08-02,56
2020-08-09,65
2020-08-16,44
2020-08-23,41
2020-08-30,41
2020-09-06,43
2020-09-13,44
2020-09-20,38
2020-09-27,42
2020-10-04,40
2020-10-11,36
2020-10-18,41
2020-10-25,41
2020-11-01,29
2020-11-08,30
2020-11-15,34
2020-11-22,42
2020-11-29,37
2020-12-06,39
2020-12-13,40
2020-12-20,39
2020-12-27,33
2021-01-03,40
2021-01-10,42
2021-01-17,45
2021-01-24,49
2021-01-31,43
2021-02-07,47
2021-02-14,39
2021-02-21,34
2021-02-28,38
2021-03-07,42
2021-03-14,37
