week,sipon
2020-03-15,95
2020-03-22,95
2020-03-29,65
2020-04-05,50
2020-04-12,52
2020-04-19,43
2020-04-26,50
2020-05-03,31
2020-05-10,34
2020-05-17,31
2020-05-24,31
2020-05-31,36
2020-06-07,44
2020-06-14,69
2020-06-21,80
2020-06-28,100
2020-07-05,85
2020-07-12,94
2020-07-19,100
2020-07-26,95
2020-08-02,76
2020-08-09,57
2020-08-16,73
2020-08-23,59
2020-08-30,49
2020-09-06,46
2020-09-13,60
2020-09-20,56
2020-09-27,67
2020-10-04,64
2020-10-11,58
2020-10-18,65
2020-10-25,68
2020-11-01,60
2020-11-08,72
2020-11-15,76
2020-11-22,92
2020-11-29,91
2020-12-06,65
2020-12-13,79
2020-12-20,74
2020-12-27,88
2021-01-03,86
2021-01-10,94
2021-01-17,77
2021-01-24,62
2021-01-31,77
2021-02-07,78
2021-02-14,70
2021-02-21,72
2021-02-28,75
2021-03-07,85
2021-03-14,95
