week,work from home
2020-03-15,100
2020-03-22,74
2020-03-29,57
2020-04-05,47
2020-04-12,52
2020-04-19,53
2020-04-26,55
2020-05-03,51
2020-05-10,57
2020-05-17,64
2020-05-24,63
2020-05-31,69
2020-06-07,51
2020-06-14,48
2020-06-21,63
2020-06-28,55
2020-07-05,51
2020-07-12,50
2020-07-19,47
2020-07-26,50
2020-08-02,56
2020-08-09,41
2020-08-16,39
2020-08-23,38
2020-08-30,41
2020-09-06,40
2020-09-13,36
2020-09-20,37
2020-09-27,31
2020-10-04,29
2020-10-11,30
2020-10-18,26
2020-10-25,27
2020-11-01,27
2020-11-08,24
2020-11-15,27
2020-11-22,27
2020-11-29,22
2020-12-06,23
2020-12-13,18
2020-12-20,16
2020-12-27,19
2021-01-03,31
2021-01-10,32
2021-01-17,29
2021-01-24,29
2021-01-31,29
2021-02-07,26
2021-02-14,27
2021-02-21,29
2021-02-28,27
2021-03-07,28
2021-03-14,33
