week,Quarantine,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,100,50.0,300,6,2.0
2020-03-22,70,33.857142857142854,237,7,2.067510548523207
2020-03-29,52,26.857142857142858,188,7,1.9361702127659575
2020-04-05,47,24.285714285714285,170,7,1.9352941176470588
2020-04-12,36,22.428571428571427,157,7,1.605095541401274
2020-04-19,48,35.57142857142857,249,7,1.349397590361446
2020-04-26,35,25.714285714285715,180,7,1.3611111111111112
2020-05-03,29,19.857142857142858,139,7,1.460431654676259
2020-05-10,48,36.142857142857146,253,7,1.3280632411067192
2020-05-17,25,58.42857142857143,409,7,0.4278728606356968
2020-05-24,27,64.57142857142857,452,7,0.418141592920354
2020-05-31,17,41.857142857142854,293,7,0.40614334470989766
2020-06-07,14,33.142857142857146,232,7,0.42241379310344823
2020-06-14,16,48.714285714285715,341,7,0.3284457478005865
2020-06-21,11,42.57142857142857,298,7,0.25838926174496646
2020-06-28,16,60.285714285714285,422,7,0.26540284360189575
2020-07-05,11,45.285714285714285,317,7,0.24290220820189276
2020-07-12,14,51.857142857142854,363,7,0.2699724517906336
2020-07-19,12,30.142857142857142,211,7,0.3981042654028436
2020-07-26,16,37.285714285714285,261,7,0.42911877394636017
2020-08-02,21,50.857142857142854,356,7,0.41292134831460675
2020-08-09,11,27.857142857142858,195,7,0.39487179487179486
2020-08-16,16,67.14285714285714,470,7,0.23829787234042554
2020-08-23,10,55.0,385,7,0.18181818181818182
2020-08-30,12,64.42857142857143,451,7,0.18625277161862527
2020-09-06,9,47.42857142857143,332,7,0.1897590361445783
2020-09-13,9,53.714285714285715,376,7,0.1675531914893617
2020-09-20,8,65.85714285714286,461,7,0.12147505422993492
2020-09-27,10,81.71428571428571,572,7,0.12237762237762238
2020-10-04,10,76.28571428571429,534,7,0.13108614232209737
2020-10-11,9,70.0,490,7,0.12857142857142856
2020-10-18,14,87.14285714285714,610,7,0.16065573770491803
2020-10-25,12,71.42857142857143,500,7,0.16799999999999998
2020-11-01,8,50.42857142857143,353,7,0.15864022662889518
2020-11-08,6,37.285714285714285,261,7,0.16091954022988506
2020-11-15,7,54.285714285714285,380,7,0.12894736842105264
2020-11-22,7,61.285714285714285,429,7,0.11421911421911422
2020-11-29,8,71.28571428571429,499,7,0.11222444889779558
2020-12-06,7,58.285714285714285,408,7,0.12009803921568628
2020-12-13,6,57.714285714285715,404,7,0.10396039603960396
2020-12-20,6,35.42857142857143,248,7,0.1693548387096774
2020-12-27,9,52.285714285714285,366,7,0.1721311475409836
2021-01-03,7,40.57142857142857,284,7,0.17253521126760565
2021-01-10,7,40.57142857142857,284,7,0.17253521126760565
2021-01-17,7,61.142857142857146,428,7,0.11448598130841121
2021-01-24,8,87.14285714285714,610,7,0.0918032786885246
2021-01-31,7,84.28571428571429,590,7,0.08305084745762711
2021-02-07,6,73.14285714285714,512,7,0.08203125
2021-02-14,7,83.14285714285714,582,7,0.08419243986254296
2021-02-21,7,61.0,427,7,0.11475409836065574
2021-02-28,9,71.0,497,7,0.1267605633802817
2021-03-07,10,78.0,546,7,0.1282051282051282
2021-03-14,10,84.14285714285714,589,7,0.11884550084889645
