week,cough,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,96,82.16666666666667,493,6,1.1683569979716024
2020-03-22,100,87.28571428571429,611,7,1.1456628477905073
2020-03-29,54,50.142857142857146,351,7,1.0769230769230769
2020-04-05,41,38.42857142857143,269,7,1.066914498141264
2020-04-12,37,57.285714285714285,401,7,0.6458852867830424
2020-04-19,32,75.14285714285714,526,7,0.4258555133079848
2020-04-26,27,61.285714285714285,429,7,0.4405594405594406
2020-05-03,23,55.0,385,7,0.41818181818181815
2020-05-10,19,44.57142857142857,312,7,0.4262820512820513
2020-05-17,23,79.14285714285714,554,7,0.29061371841155237
2020-05-24,20,72.0,504,7,0.2777777777777778
2020-05-31,21,81.0,567,7,0.25925925925925924
2020-06-07,23,75.71428571428571,530,7,0.3037735849056604
2020-06-14,23,63.57142857142857,445,7,0.3617977528089888
2020-06-21,31,68.0,476,7,0.45588235294117646
2020-06-28,35,72.28571428571429,506,7,0.4841897233201581
2020-07-05,39,87.14285714285714,610,7,0.4475409836065574
2020-07-12,40,86.14285714285714,603,7,0.46434494195688225
2020-07-19,42,88.28571428571429,618,7,0.4757281553398058
2020-07-26,43,87.0,609,7,0.4942528735632184
2020-08-02,36,72.0,504,7,0.5
2020-08-09,30,62.285714285714285,436,7,0.481651376146789
2020-08-16,29,80.42857142857143,563,7,0.3605683836589698
2020-08-23,28,88.14285714285714,617,7,0.31766612641815234
2020-08-30,24,77.42857142857143,542,7,0.3099630996309963
2020-09-06,26,83.28571428571429,583,7,0.31217838765008576
2020-09-13,24,81.0,567,7,0.2962962962962963
2020-09-20,25,86.0,602,7,0.29069767441860467
2020-09-27,22,77.42857142857143,542,7,0.28413284132841327
2020-10-04,23,76.42857142857143,535,7,0.30093457943925234
2020-10-11,21,74.0,518,7,0.28378378378378377
2020-10-18,25,83.57142857142857,585,7,0.29914529914529914
2020-10-25,23,77.28571428571429,541,7,0.2975970425138632
2020-11-01,23,79.57142857142857,557,7,0.289048473967684
2020-11-08,23,77.14285714285714,540,7,0.29814814814814816
2020-11-15,25,68.0,476,7,0.36764705882352944
2020-11-22,29,68.57142857142857,480,7,0.42291666666666666
2020-11-29,32,76.42857142857143,535,7,0.4186915887850467
2020-12-06,33,75.28571428571429,527,7,0.4383301707779886
2020-12-13,29,64.71428571428571,453,7,0.44812362030905084
2020-12-20,30,74.57142857142857,522,7,0.40229885057471265
2020-12-27,35,87.14285714285714,610,7,0.4016393442622951
2021-01-03,29,75.14285714285714,526,7,0.38593155893536124
2021-01-10,28,74.28571428571429,520,7,0.3769230769230769
2021-01-17,29,82.57142857142857,578,7,0.35121107266435986
2021-01-24,28,85.85714285714286,601,7,0.3261231281198003
2021-01-31,28,84.42857142857143,591,7,0.3316412859560068
2021-02-07,27,80.14285714285714,561,7,0.33689839572192515
2021-02-14,26,73.28571428571429,513,7,0.35477582846003897
2021-02-21,30,59.42857142857143,416,7,0.5048076923076923
2021-02-28,28,59.714285714285715,418,7,0.4688995215311005
2021-03-07,35,73.14285714285714,512,7,0.478515625
2021-03-14,37,78.14285714285714,547,7,0.473491773308958
