week,face shield,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,4,25.333333333333332,152,6,0.15789473684210528
2020-03-22,8,75.85714285714286,531,7,0.10546139359698681
2020-03-29,8,60.857142857142854,426,7,0.13145539906103287
2020-04-05,6,68.0,476,7,0.08823529411764706
2020-04-12,7,61.857142857142854,433,7,0.11316397228637413
2020-04-19,6,53.857142857142854,377,7,0.11140583554376658
2020-04-26,6,50.57142857142857,354,7,0.11864406779661017
2020-05-03,8,60.285714285714285,422,7,0.13270142180094788
2020-05-10,6,48.857142857142854,342,7,0.12280701754385966
2020-05-17,11,74.42857142857143,521,7,0.14779270633397312
2020-05-24,9,61.57142857142857,431,7,0.14617169373549885
2020-05-31,10,73.85714285714286,517,7,0.13539651837524178
2020-06-07,7,52.0,364,7,0.1346153846153846
2020-06-14,10,54.42857142857143,381,7,0.1837270341207349
2020-06-21,12,59.0,413,7,0.2033898305084746
2020-06-28,13,68.57142857142857,480,7,0.18958333333333333
2020-07-05,15,74.14285714285714,519,7,0.2023121387283237
2020-07-12,17,71.0,497,7,0.23943661971830985
2020-07-19,15,7.142857142857143,50,7,2.1
2020-07-26,21,10.285714285714286,72,7,2.0416666666666665
2020-08-02,100,50.285714285714285,352,7,1.9886363636363638
2020-08-09,89,45.57142857142857,319,7,1.9529780564263324
2020-08-16,48,75.85714285714286,531,7,0.6327683615819208
2020-08-23,29,63.285714285714285,443,7,0.4582392776523702
2020-08-30,19,41.714285714285715,292,7,0.4554794520547945
2020-09-06,14,30.428571428571427,213,7,0.46009389671361506
2020-09-13,12,40.714285714285715,285,7,0.29473684210526313
2020-09-20,10,72.14285714285714,505,7,0.13861386138613863
2020-09-27,11,73.0,511,7,0.1506849315068493
2020-10-04,11,71.85714285714286,503,7,0.15308151093439362
2020-10-11,8,57.714285714285715,404,7,0.1386138613861386
2020-10-18,9,64.14285714285714,449,7,0.1403118040089087
2020-10-25,10,70.85714285714286,496,7,0.1411290322580645
2020-11-01,8,64.0,448,7,0.125
2020-11-08,7,51.42857142857143,360,7,0.1361111111111111
2020-11-15,8,47.42857142857143,332,7,0.1686746987951807
2020-11-22,8,31.0,217,7,0.25806451612903225
2020-11-29,8,27.142857142857142,190,7,0.2947368421052632
2020-12-06,8,29.0,203,7,0.27586206896551724
2020-12-13,17,61.0,427,7,0.2786885245901639
2020-12-20,9,45.42857142857143,318,7,0.1981132075471698
2020-12-27,6,32.285714285714285,226,7,0.18584070796460178
2021-01-03,7,43.714285714285715,306,7,0.16013071895424835
2021-01-10,7,38.285714285714285,268,7,0.1828358208955224
2021-01-17,7,54.57142857142857,382,7,0.12827225130890052
2021-01-24,6,57.142857142857146,400,7,0.105
2021-01-31,7,74.71428571428571,523,7,0.0936902485659656
2021-02-07,7,45.0,315,7,0.15555555555555556
2021-02-14,6,62.57142857142857,438,7,0.09589041095890412
2021-02-21,6,46.0,322,7,0.13043478260869565
2021-02-28,6,52.285714285714285,366,7,0.11475409836065574
2021-03-07,6,60.57142857142857,424,7,0.09905660377358491
2021-03-14,6,58.857142857142854,412,7,0.10194174757281554
