week,flu,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,100,49.0,294,6,2.0408163265306123
2020-03-22,58,29.142857142857142,204,7,1.9901960784313726
2020-03-29,35,18.142857142857142,127,7,1.9291338582677167
2020-04-05,31,16.571428571428573,116,7,1.8706896551724137
2020-04-12,23,35.714285714285715,250,7,0.644
2020-04-19,22,69.71428571428571,488,7,0.3155737704918033
2020-04-26,21,66.57142857142857,466,7,0.315450643776824
2020-05-03,15,47.42857142857143,332,7,0.31626506024096385
2020-05-10,17,56.0,392,7,0.30357142857142855
2020-05-17,26,75.71428571428571,530,7,0.3433962264150944
2020-05-24,21,61.0,427,7,0.3442622950819672
2020-05-31,21,64.57142857142857,452,7,0.3252212389380531
2020-06-07,19,58.714285714285715,411,7,0.3236009732360097
2020-06-14,22,58.142857142857146,407,7,0.37837837837837834
2020-06-21,20,44.714285714285715,313,7,0.4472843450479233
2020-06-28,27,66.42857142857143,465,7,0.4064516129032258
2020-07-05,25,63.714285714285715,446,7,0.39237668161434974
2020-07-12,28,69.85714285714286,489,7,0.40081799591002043
2020-07-19,34,85.28571428571429,597,7,0.39865996649916247
2020-07-26,32,86.85714285714286,608,7,0.3684210526315789
2020-08-02,24,66.0,462,7,0.36363636363636365
2020-08-09,21,56.42857142857143,395,7,0.3721518987341772
2020-08-16,18,73.14285714285714,512,7,0.24609375
2020-08-23,16,70.57142857142857,494,7,0.22672064777327935
2020-08-30,14,62.0,434,7,0.22580645161290322
2020-09-06,12,55.57142857142857,389,7,0.2159383033419023
2020-09-13,12,66.28571428571429,464,7,0.18103448275862066
2020-09-20,11,82.0,574,7,0.13414634146341464
2020-09-27,12,81.14285714285714,568,7,0.14788732394366197
2020-10-04,9,70.85714285714286,496,7,0.12701612903225806
2020-10-11,10,72.0,504,7,0.1388888888888889
2020-10-18,9,65.28571428571429,457,7,0.13785557986870897
2020-10-25,9,57.42857142857143,402,7,0.15671641791044777
2020-11-01,10,70.0,490,7,0.14285714285714285
2020-11-08,9,63.714285714285715,446,7,0.1412556053811659
2020-11-15,9,67.28571428571429,471,7,0.1337579617834395
2020-11-22,9,77.57142857142857,543,7,0.11602209944751382
2020-11-29,9,69.42857142857143,486,7,0.12962962962962962
2020-12-06,10,75.0,525,7,0.13333333333333333
2020-12-13,9,71.71428571428571,502,7,0.1254980079681275
2020-12-20,9,56.0,392,7,0.16071428571428573
2020-12-27,11,72.71428571428571,509,7,0.1512770137524558
2021-01-03,10,66.28571428571429,464,7,0.15086206896551724
2021-01-10,11,80.14285714285714,561,7,0.13725490196078433
2021-01-17,10,59.142857142857146,414,7,0.16908212560386474
2021-01-24,10,69.0,483,7,0.14492753623188406
2021-01-31,8,58.42857142857143,409,7,0.13691931540342298
2021-02-07,8,48.57142857142857,340,7,0.16470588235294117
2021-02-14,9,47.857142857142854,335,7,0.1880597014925373
2021-02-21,16,44.857142857142854,314,7,0.356687898089172
2021-02-28,10,27.0,189,7,0.37037037037037035
2021-03-07,12,31.857142857142858,223,7,0.37668161434977576
2021-03-14,12,31.714285714285715,222,7,0.37837837837837834
