week,headache,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,84,71.33333333333333,428,6,1.177570093457944
2020-03-22,96,82.57142857142857,578,7,1.1626297577854672
2020-03-29,94,81.71428571428571,572,7,1.1503496503496504
2020-04-05,91,79.14285714285714,554,7,1.1498194945848377
2020-04-12,92,82.71428571428571,579,7,1.1122625215889466
2020-04-19,90,90.28571428571429,632,7,0.9968354430379747
2020-04-26,91,89.57142857142857,627,7,1.0159489633173844
2020-05-03,77,77.85714285714286,545,7,0.9889908256880734
2020-05-10,77,73.14285714285714,512,7,1.052734375
2020-05-17,77,80.0,560,7,0.9625
2020-05-24,88,87.57142857142857,613,7,1.0048939641109298
2020-05-31,79,83.42857142857143,584,7,0.946917808219178
2020-06-07,77,78.85714285714286,552,7,0.9764492753623187
2020-06-14,64,63.714285714285715,446,7,1.0044843049327354
2020-06-21,83,67.85714285714286,475,7,1.223157894736842
2020-06-28,78,64.85714285714286,454,7,1.2026431718061674
2020-07-05,92,78.0,546,7,1.1794871794871795
2020-07-12,93,79.57142857142857,557,7,1.1687612208258529
2020-07-19,100,90.28571428571429,632,7,1.1075949367088607
2020-07-26,91,81.0,567,7,1.123456790123457
2020-08-02,89,78.42857142857143,549,7,1.1347905282331512
2020-08-09,89,77.85714285714286,545,7,1.1431192660550458
2020-08-16,83,83.14285714285714,582,7,0.9982817869415808
2020-08-23,89,90.0,630,7,0.9888888888888889
2020-08-30,77,81.14285714285714,568,7,0.948943661971831
2020-09-06,76,80.28571428571429,562,7,0.9466192170818505
2020-09-13,67,70.71428571428571,495,7,0.9474747474747476
2020-09-20,66,75.14285714285714,526,7,0.8783269961977187
2020-09-27,73,85.85714285714286,601,7,0.8502495840266222
2020-10-04,62,73.42857142857143,514,7,0.8443579766536965
2020-10-11,58,67.71428571428571,474,7,0.8565400843881857
2020-10-18,71,75.85714285714286,531,7,0.935969868173258
2020-10-25,70,76.57142857142857,536,7,0.914179104477612
2020-11-01,70,80.14285714285714,561,7,0.8734402852049912
2020-11-08,66,71.57142857142857,501,7,0.9221556886227545
2020-11-15,70,74.14285714285714,519,7,0.9441233140655106
2020-11-22,67,71.42857142857143,500,7,0.938
2020-11-29,65,69.71428571428571,488,7,0.9323770491803279
2020-12-06,72,77.57142857142857,543,7,0.9281767955801106
2020-12-13,62,66.85714285714286,468,7,0.9273504273504273
2020-12-20,67,73.71428571428571,516,7,0.9089147286821706
2020-12-27,74,79.71428571428571,558,7,0.92831541218638
2021-01-03,71,73.71428571428571,516,7,0.9631782945736435
2021-01-10,67,76.57142857142857,536,7,0.875
2021-01-17,70,79.42857142857143,556,7,0.8812949640287769
2021-01-24,70,80.28571428571429,562,7,0.8718861209964412
2021-01-31,59,71.14285714285714,498,7,0.8293172690763053
2021-02-07,69,74.71428571428571,523,7,0.9235181644359466
2021-02-14,64,72.28571428571429,506,7,0.8853754940711461
2021-02-21,73,72.85714285714286,510,7,1.0019607843137255
2021-02-28,75,74.0,518,7,1.0135135135135136
2021-03-07,79,71.71428571428571,502,7,1.101593625498008
2021-03-14,83,80.85714285714286,566,7,1.0265017667844523
