week,lagnat,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,100,66.83333333333333,401,6,1.4962593516209477
2020-03-22,92,57.285714285714285,401,7,1.605985037406484
2020-03-29,71,30.142857142857142,211,7,2.3554502369668247
2020-04-05,63,9.285714285714286,65,7,6.7846153846153845
2020-04-12,61,43.142857142857146,302,7,1.413907284768212
2020-04-19,53,21.857142857142858,153,7,2.4248366013071894
2020-04-26,40,20.428571428571427,143,7,1.9580419580419581
2020-05-03,43,0.0,0,7,
2020-05-10,32,9.714285714285714,68,7,3.294117647058824
2020-05-17,50,0.0,0,7,
2020-05-24,47,27.0,189,7,1.7407407407407407
2020-05-31,40,0.0,0,7,
2020-06-07,46,12.571428571428571,88,7,3.659090909090909
2020-06-14,41,18.428571428571427,129,7,2.224806201550388
2020-06-21,71,20.714285714285715,145,7,3.4275862068965517
2020-06-28,63,19.857142857142858,139,7,3.172661870503597
2020-07-05,76,31.285714285714285,219,7,2.4292237442922375
2020-07-12,74,45.57142857142857,319,7,1.6238244514106583
2020-07-19,86,46.285714285714285,324,7,1.8580246913580247
2020-07-26,77,35.857142857142854,251,7,2.1474103585657374
2020-08-02,72,35.42857142857143,248,7,2.032258064516129
2020-08-09,70,52.57142857142857,368,7,1.3315217391304348
2020-08-16,47,23.0,161,7,2.0434782608695654
2020-08-23,42,0.0,0,7,
2020-08-30,46,12.285714285714286,86,7,3.744186046511628
2020-09-06,57,38.142857142857146,267,7,1.49438202247191
2020-09-13,44,0.0,0,7,
2020-09-20,55,35.142857142857146,246,7,1.565040650406504
2020-09-27,43,14.142857142857142,99,7,3.0404040404040407
2020-10-04,43,0.0,0,7,
2020-10-11,49,18.142857142857142,127,7,2.7007874015748032
2020-10-18,56,18.857142857142858,132,7,2.9696969696969697
2020-10-25,56,25.285714285714285,177,7,2.214689265536723
2020-11-01,42,14.285714285714286,100,7,2.94
2020-11-08,50,13.285714285714286,93,7,3.7634408602150535
2020-11-15,56,18.571428571428573,130,7,3.0153846153846153
2020-11-22,55,0.0,0,7,
2020-11-29,54,9.428571428571429,66,7,5.7272727272727275
2020-12-06,57,23.428571428571427,164,7,2.432926829268293
2020-12-13,50,10.285714285714286,72,7,4.861111111111111
2020-12-20,53,14.285714285714286,100,7,3.71
2020-12-27,62,0.0,0,7,
2021-01-03,71,25.428571428571427,178,7,2.7921348314606744
2021-01-10,69,45.57142857142857,319,7,1.5141065830721003
2021-01-17,60,38.714285714285715,271,7,1.5498154981549814
2021-01-24,64,35.714285714285715,250,7,1.792
2021-01-31,57,28.142857142857142,197,7,2.0253807106598987
2021-02-07,58,28.571428571428573,200,7,2.03
2021-02-14,52,7.714285714285714,54,7,6.7407407407407405
2021-02-21,72,37.42857142857143,262,7,1.9236641221374045
2021-02-28,66,8.285714285714286,58,7,7.96551724137931
2021-03-07,73,31.428571428571427,220,7,2.3227272727272728
2021-03-14,96,63.142857142857146,442,7,1.5203619909502262
