week,rashes,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,63,59.833333333333336,359,6,1.0529247910863508
2020-03-22,88,88.28571428571429,618,7,0.9967637540453074
2020-03-29,77,82.57142857142857,578,7,0.9325259515570935
2020-04-05,64,69.42857142857143,486,7,0.9218106995884774
2020-04-12,72,66.71428571428571,467,7,1.0792291220556747
2020-04-19,83,53.57142857142857,375,7,1.5493333333333335
2020-04-26,92,59.142857142857146,414,7,1.5555555555555556
2020-05-03,96,60.57142857142857,424,7,1.5849056603773586
2020-05-10,93,61.285714285714285,429,7,1.5174825174825175
2020-05-17,100,78.57142857142857,550,7,1.2727272727272727
2020-05-24,78,60.57142857142857,424,7,1.2877358490566038
2020-05-31,77,69.85714285714286,489,7,1.1022494887525562
2020-06-07,70,54.0,378,7,1.2962962962962963
2020-06-14,64,63.857142857142854,447,7,1.0022371364653244
2020-06-21,71,83.0,581,7,0.8554216867469879
2020-06-28,67,84.71428571428571,593,7,0.790893760539629
2020-07-05,74,77.71428571428571,544,7,0.9522058823529412
2020-07-12,73,80.71428571428571,565,7,0.904424778761062
2020-07-19,86,66.71428571428571,467,7,1.2890792291220559
2020-07-26,72,60.0,420,7,1.2
2020-08-02,71,60.142857142857146,421,7,1.180522565320665
2020-08-09,78,64.71428571428571,453,7,1.2052980132450333
2020-08-16,80,70.85714285714286,496,7,1.129032258064516
2020-08-23,74,71.85714285714286,503,7,1.0298210735586482
2020-08-30,78,72.0,504,7,1.0833333333333333
2020-09-06,68,63.57142857142857,445,7,1.0696629213483146
2020-09-13,61,58.42857142857143,409,7,1.0440097799511001
2020-09-20,65,66.14285714285714,463,7,0.9827213822894169
2020-09-27,63,71.71428571428571,502,7,0.8784860557768925
2020-10-04,54,57.57142857142857,403,7,0.9379652605459058
2020-10-11,54,48.142857142857146,337,7,1.1216617210682491
2020-10-18,54,57.857142857142854,405,7,0.9333333333333333
2020-10-25,56,46.142857142857146,323,7,1.2136222910216719
2020-11-01,57,59.142857142857146,414,7,0.9637681159420289
2020-11-08,55,51.714285714285715,362,7,1.0635359116022098
2020-11-15,67,74.14285714285714,519,7,0.9036608863198459
2020-11-22,58,52.285714285714285,366,7,1.109289617486339
2020-11-29,48,42.142857142857146,295,7,1.1389830508474574
2020-12-06,59,51.57142857142857,361,7,1.1440443213296398
2020-12-13,59,61.714285714285715,432,7,0.9560185185185185
2020-12-20,57,57.285714285714285,401,7,0.9950124688279302
2020-12-27,67,64.57142857142857,452,7,1.0376106194690267
2021-01-03,63,61.857142857142854,433,7,1.0184757505773672
2021-01-10,62,61.57142857142857,431,7,1.0069605568445477
2021-01-17,55,64.14285714285714,449,7,0.8574610244988865
2021-01-24,53,73.14285714285714,512,7,0.724609375
2021-01-31,58,75.57142857142857,529,7,0.7674858223062382
2021-02-07,60,74.0,518,7,0.8108108108108109
2021-02-14,60,80.57142857142857,564,7,0.7446808510638298
2021-02-21,59,72.42857142857143,507,7,0.8145956607495068
2021-02-28,63,72.14285714285714,505,7,0.8732673267326733
2021-03-07,67,69.57142857142857,487,7,0.9630390143737166
2021-03-14,71,79.71428571428571,558,7,0.8906810035842294
