week,sipon,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,95,72.16666666666667,433,6,1.3163972286374133
2020-03-22,95,65.85714285714286,461,7,1.4425162689804771
2020-03-29,65,46.714285714285715,327,7,1.3914373088685015
2020-04-05,50,30.714285714285715,215,7,1.627906976744186
2020-04-12,52,50.142857142857146,351,7,1.037037037037037
2020-04-19,43,17.571428571428573,123,7,2.447154471544715
2020-04-26,50,42.857142857142854,300,7,1.1666666666666667
2020-05-03,31,10.714285714285714,75,7,2.8933333333333335
2020-05-10,34,16.571428571428573,116,7,2.0517241379310343
2020-05-17,31,7.285714285714286,51,7,4.254901960784314
2020-05-24,31,9.428571428571429,66,7,3.2878787878787876
2020-05-31,36,19.285714285714285,135,7,1.8666666666666667
2020-06-07,44,45.857142857142854,321,7,0.9595015576323989
2020-06-14,69,72.57142857142857,508,7,0.9507874015748031
2020-06-21,80,64.57142857142857,452,7,1.2389380530973453
2020-06-28,100,83.85714285714286,587,7,1.192504258943782
2020-07-05,85,71.57142857142857,501,7,1.187624750499002
2020-07-12,94,72.85714285714286,510,7,1.2901960784313724
2020-07-19,100,60.0,420,7,1.6666666666666667
2020-07-26,95,59.285714285714285,415,7,1.6024096385542168
2020-08-02,76,44.857142857142854,314,7,1.694267515923567
2020-08-09,57,36.857142857142854,258,7,1.5465116279069768
2020-08-16,73,64.42857142857143,451,7,1.1330376940133038
2020-08-23,59,53.714285714285715,376,7,1.0984042553191489
2020-08-30,49,44.857142857142854,314,7,1.0923566878980893
2020-09-06,46,45.57142857142857,319,7,1.0094043887147335
2020-09-13,60,61.714285714285715,432,7,0.9722222222222222
2020-09-20,56,54.142857142857146,379,7,1.0343007915567282
2020-09-27,67,64.85714285714286,454,7,1.0330396475770924
2020-10-04,64,47.857142857142854,335,7,1.337313432835821
2020-10-11,58,46.285714285714285,324,7,1.2530864197530864
2020-10-18,65,77.28571428571429,541,7,0.8410351201478743
2020-10-25,68,59.42857142857143,416,7,1.1442307692307692
2020-11-01,60,67.57142857142857,473,7,0.8879492600422834
2020-11-08,72,80.14285714285714,561,7,0.8983957219251337
2020-11-15,76,69.14285714285714,484,7,1.0991735537190084
2020-11-22,92,73.71428571428571,516,7,1.248062015503876
2020-11-29,91,69.71428571428571,488,7,1.3053278688524592
2020-12-06,65,40.42857142857143,283,7,1.6077738515901059
2020-12-13,79,50.285714285714285,352,7,1.5710227272727273
2020-12-20,74,58.714285714285715,411,7,1.2603406326034063
2020-12-27,88,67.85714285714286,475,7,1.2968421052631578
2021-01-03,86,68.14285714285714,477,7,1.2620545073375262
2021-01-10,94,73.71428571428571,516,7,1.2751937984496124
2021-01-17,77,55.285714285714285,387,7,1.392764857881137
2021-01-24,62,51.0,357,7,1.2156862745098038
2021-01-31,77,59.142857142857146,414,7,1.3019323671497585
2021-02-07,78,66.42857142857143,465,7,1.1741935483870967
2021-02-14,70,64.42857142857143,451,7,1.0864745011086474
2021-02-21,72,61.57142857142857,431,7,1.1693735498839908
2021-02-28,75,62.285714285714285,436,7,1.2041284403669725
2021-03-07,85,71.85714285714286,503,7,1.1829025844930416
2021-03-14,95,74.71428571428571,523,7,1.27151051625239
