week,social distancing,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,100,59.666666666666664,358,6,1.675977653631285
2020-03-22,63,37.142857142857146,260,7,1.6961538461538461
2020-03-29,41,24.714285714285715,173,7,1.6589595375722543
2020-04-05,31,17.0,119,7,1.8235294117647058
2020-04-12,42,45.0,315,7,0.9333333333333333
2020-04-19,38,53.42857142857143,374,7,0.7112299465240641
2020-04-26,37,54.0,378,7,0.6851851851851852
2020-05-03,44,69.42857142857143,486,7,0.6337448559670782
2020-05-10,48,75.14285714285714,526,7,0.6387832699619772
2020-05-17,59,77.14285714285714,540,7,0.7648148148148148
2020-05-24,46,61.0,427,7,0.7540983606557377
2020-05-31,50,65.57142857142857,459,7,0.7625272331154684
2020-06-07,34,45.285714285714285,317,7,0.750788643533123
2020-06-14,34,61.857142857142854,433,7,0.5496535796766744
2020-06-21,30,58.285714285714285,408,7,0.5147058823529412
2020-06-28,29,49.42857142857143,346,7,0.5867052023121387
2020-07-05,28,50.857142857142854,356,7,0.550561797752809
2020-07-12,22,45.42857142857143,318,7,0.48427672955974843
2020-07-19,23,52.714285714285715,369,7,0.4363143631436314
2020-07-26,20,35.42857142857143,248,7,0.564516129032258
2020-08-02,21,65.85714285714286,461,7,0.3188720173535792
2020-08-09,19,57.285714285714285,401,7,0.3316708229426434
2020-08-16,16,31.857142857142858,223,7,0.5022421524663677
2020-08-23,19,39.857142857142854,279,7,0.47670250896057353
2020-08-30,18,32.857142857142854,230,7,0.5478260869565218
2020-09-06,17,34.714285714285715,243,7,0.4897119341563786
2020-09-13,27,64.14285714285714,449,7,0.4209354120267261
2020-09-20,24,13.142857142857142,92,7,1.8260869565217392
2020-09-27,55,35.0,245,7,1.5714285714285714
2020-10-04,30,19.0,133,7,1.5789473684210527
2020-10-11,25,13.142857142857142,92,7,1.9021739130434783
2020-10-18,19,30.714285714285715,215,7,0.6186046511627907
2020-10-25,17,41.714285714285715,292,7,0.40753424657534243
2020-11-01,19,25.714285714285715,180,7,0.7388888888888888
2020-11-08,15,8.428571428571429,59,7,1.7796610169491525
2020-11-15,17,20.428571428571427,143,7,0.8321678321678322
2020-11-22,19,27.142857142857142,190,7,0.7000000000000001
2020-11-29,20,60.57142857142857,424,7,0.33018867924528306
2020-12-06,20,54.142857142857146,379,7,0.36939313984168864
2020-12-13,17,24.428571428571427,171,7,0.695906432748538
2020-12-20,12,0.0,0,7,
2020-12-27,8,11.285714285714286,79,7,0.7088607594936709
2021-01-03,16,14.285714285714286,100,7,1.1199999999999999
2021-01-10,13,14.142857142857142,99,7,0.9191919191919192
2021-01-17,16,24.428571428571427,171,7,0.6549707602339182
2021-01-24,16,22.285714285714285,156,7,0.717948717948718
2021-01-31,16,12.0,84,7,1.3333333333333333
2021-02-07,14,8.571428571428571,60,7,1.6333333333333333
2021-02-14,13,0.0,0,7,
2021-02-21,14,35.0,245,7,0.4
2021-02-28,14,8.714285714285714,61,7,1.6065573770491806
2021-03-07,14,8.857142857142858,62,7,1.5806451612903225
2021-03-14,14,20.285714285714285,142,7,0.6901408450704226
