week,work from home,manual_weekly_average,manual_weekly_sum,days_in_week,search_interest_weight
2020-03-15,100,73.83333333333333,443,6,1.3544018058690745
2020-03-22,74,47.714285714285715,334,7,1.5508982035928143
2020-03-29,57,38.714285714285715,271,7,1.4723247232472325
2020-04-05,47,30.714285714285715,215,7,1.5302325581395348
2020-04-12,52,51.57142857142857,361,7,1.0083102493074794
2020-04-19,53,77.0,539,7,0.6883116883116883
2020-04-26,55,76.42857142857143,535,7,0.719626168224299
2020-05-03,51,74.71428571428571,523,7,0.6826003824091779
2020-05-10,57,77.85714285714286,545,7,0.7321100917431193
2020-05-17,64,76.0,532,7,0.8421052631578947
2020-05-24,63,73.42857142857143,514,7,0.857976653696498
2020-05-31,69,84.57142857142857,592,7,0.8158783783783784
2020-06-07,51,55.42857142857143,388,7,0.9201030927835051
2020-06-14,48,59.142857142857146,414,7,0.8115942028985507
2020-06-21,63,75.57142857142857,529,7,0.8336483931947071
2020-06-28,55,69.28571428571429,485,7,0.7938144329896907
2020-07-05,51,61.57142857142857,431,7,0.8283062645011601
2020-07-12,50,60.714285714285715,425,7,0.8235294117647058
2020-07-19,47,68.14285714285714,477,7,0.689727463312369
2020-07-26,50,71.71428571428571,502,7,0.6972111553784861
2020-08-02,56,75.71428571428571,530,7,0.739622641509434
2020-08-09,41,58.285714285714285,408,7,0.7034313725490197
2020-08-16,39,64.71428571428571,453,7,0.6026490066225166
2020-08-23,38,68.14285714285714,477,7,0.5576519916142558
2020-08-30,41,68.28571428571429,478,7,0.6004184100418409
2020-09-06,40,64.57142857142857,452,7,0.6194690265486726
2020-09-13,36,64.71428571428571,453,7,0.5562913907284769
2020-09-20,37,82.85714285714286,580,7,0.44655172413793104
2020-09-27,31,67.71428571428571,474,7,0.4578059071729958
2020-10-04,29,63.0,441,7,0.4603174603174603
2020-10-11,30,71.57142857142857,501,7,0.4191616766467066
2020-10-18,26,61.0,427,7,0.4262295081967213
2020-10-25,27,66.42857142857143,465,7,0.4064516129032258
2020-11-01,27,64.57142857142857,452,7,0.418141592920354
2020-11-08,24,42.714285714285715,299,7,0.5618729096989966
2020-11-15,27,73.0,511,7,0.3698630136986301
2020-11-22,27,53.714285714285715,376,7,0.5026595744680851
2020-11-29,22,50.857142857142854,356,7,0.43258426966292135
2020-12-06,23,69.85714285714286,489,7,0.32924335378323105
2020-12-13,18,50.42857142857143,353,7,0.35694050991501414
2020-12-20,16,16.857142857142858,118,7,0.9491525423728814
2020-12-27,19,32.57142857142857,228,7,0.5833333333333334
2021-01-03,31,78.28571428571429,548,7,0.395985401459854
2021-01-10,32,69.14285714285714,484,7,0.4628099173553719
2021-01-17,29,73.42857142857143,514,7,0.3949416342412451
2021-01-24,29,61.714285714285715,432,7,0.4699074074074074
2021-01-31,29,64.71428571428571,453,7,0.44812362030905084
2021-02-07,26,58.42857142857143,409,7,0.4449877750611247
2021-02-14,27,49.142857142857146,344,7,0.5494186046511628
2021-02-21,29,63.142857142857146,442,7,0.4592760180995475
2021-02-28,27,61.285714285714285,429,7,0.4405594405594406
2021-03-07,28,69.71428571428571,488,7,0.40163934426229514
2021-03-14,33,73.85714285714286,517,7,0.44680851063829785
