date,Quarantine,isPartial
2020-05-13,100,False
2020-05-14,73,False
2020-05-15,78,False
2020-05-16,76,False
2020-05-17,59,False
2020-05-18,54,False
2020-05-19,43,False
2020-05-20,46,False
2020-05-21,57,False
2020-05-22,44,False
2020-05-23,39,False
2020-05-24,42,False
2020-05-25,46,False
2020-05-26,53,False
2020-05-27,50,False
2020-05-28,84,False
2020-05-29,66,False
2020-05-30,39,False
2020-05-31,44,False
2020-06-01,44,False
2020-06-02,35,False
2020-06-03,29,False
2020-06-04,30,False
2020-06-05,30,False
2020-06-06,32,False
2020-06-07,27,False
2020-06-08,28,False
2020-06-09,30,False
2020-06-10,27,False
2020-06-11,30,False
2020-06-12,29,False
