date,cough,isPartial
2020-04-01,100,False
2020-04-02,94,False
2020-04-03,88,False
2020-04-04,86,False
2020-04-05,78,False
2020-04-06,79,False
2020-04-07,80,False
2020-04-08,71,False
2020-04-09,83,False
2020-04-10,83,False
2020-04-11,69,False
2020-04-12,71,False
2020-04-13,81,False
2020-04-14,62,False
2020-04-15,77,False
2020-04-16,65,False
2020-04-17,65,False
2020-04-18,79,False
2020-04-19,58,False
2020-04-20,69,False
2020-04-21,60,False
2020-04-22,55,False
2020-04-23,50,False
2020-04-24,55,False
2020-04-25,51,False
2020-04-26,50,False
2020-04-27,50,False
2020-04-28,43,False
2020-04-29,56,False
2020-04-30,41,False
2020-05-01,52,False
