date,face shield,isPartial
2020-09-17,100,False
2020-09-18,83,False
2020-09-19,69,False
2020-09-20,79,False
2020-09-21,94,False
2020-09-22,62,False
2020-09-23,60,False
2020-09-24,91,False
2020-09-25,54,False
2020-09-26,72,False
2020-09-27,87,False
2020-09-28,65,False
2020-09-29,70,False
2020-09-30,66,False
2020-10-01,70,False
2020-10-02,74,False
2020-10-03,86,False
2020-10-04,74,False
2020-10-05,50,False
2020-10-06,90,False
2020-10-07,97,False
2020-10-08,84,False
2020-10-09,61,False
2020-10-10,55,False
2020-10-11,54,False
2020-10-12,71,False
2020-10-13,39,False
2020-10-14,58,False
2020-10-15,66,False
2020-10-16,48,False
2020-10-17,75,False
