date,masks,isPartial
2020-04-15,100,False
2020-04-16,62,False
2020-04-17,92,False
2020-04-18,56,False
2020-04-19,49,False
2020-04-20,68,False
2020-04-21,66,False
2020-04-22,82,False
2020-04-23,50,False
2020-04-24,36,False
2020-04-25,57,False
2020-04-26,0,False
2020-04-27,69,False
2020-04-28,66,False
2020-04-29,76,False
2020-04-30,54,False
2020-05-01,49,False
2020-05-02,48,False
2020-05-03,72,False
2020-05-04,43,False
2020-05-05,82,False
2020-05-06,73,False
2020-05-07,40,False
2020-05-08,53,False
2020-05-09,45,False
2020-05-10,36,False
2020-05-11,61,False
2020-05-12,68,False
2020-05-13,68,False
2020-05-14,79,False
2020-05-15,60,False
