date,social distancing,isPartial
2020-03-17,100,False
2020-03-18,91,False
2020-03-19,78,False
2020-03-20,80,False
2020-03-21,51,False
2020-03-22,68,False
2020-03-23,56,False
2020-03-24,74,False
2020-03-25,68,False
2020-03-26,35,False
2020-03-27,61,False
2020-03-28,41,False
2020-03-29,41,False
2020-03-30,48,False
2020-03-31,41,False
2020-04-01,37,False
2020-04-02,38,False
2020-04-03,30,False
2020-04-04,34,False
2020-04-05,29,False
2020-04-06,35,False
2020-04-07,37,False
2020-04-08,31,False
2020-04-09,26,False
2020-04-10,0,False
2020-04-11,26,False
2020-04-12,29,False
2020-04-13,39,False
2020-04-14,41,False
2020-04-15,46,False
2020-04-16,34,False
