date,ubo,isPartial
2021-01-29,84,False
2021-01-30,73,False
2021-01-31,61,False
2021-02-01,47,False
2021-02-02,72,False
2021-02-03,62,False
2021-02-04,64,False
2021-02-05,51,False
2021-02-06,49,False
2021-02-07,100,False
2021-02-08,43,False
2021-02-09,58,False
2021-02-10,59,False
2021-02-11,64,False
2021-02-12,88,False
2021-02-13,55,False
2021-02-14,52,False
2021-02-15,0,False
2021-02-16,64,False
2021-02-17,56,False
2021-02-18,61,False
2021-02-19,46,False
2021-02-20,92,False
2021-02-21,89,False
2021-02-22,54,False
2021-02-23,0,False
2021-02-24,72,False
2021-02-25,78,False
2021-02-26,74,False
2021-02-27,0,False
2021-02-28,76,False
