date,active_cases
2020-03-08,2
2020-03-09,13
2020-03-10,20
2020-03-11,29
2020-03-12,30
2020-03-13,38
2020-03-14,71
2020-03-15,90
2020-03-16,90
2020-03-17,125
2020-03-18,133
2020-03-19,145
2020-03-20,156
2020-03-21,204
2020-03-22,248
2020-03-23,304
2020-03-24,367
2020-03-25,420
2020-03-26,459
2020-03-27,523
2020-03-28,686
2020-03-29,918
2020-03-30,981
2020-03-31,1350
2020-04-01,1489
2020-04-02,1694
2020-04-03,1945
2020-04-04,1980
2020-04-05,2065
2020-04-06,2332
2020-04-07,2364
2020-04-08,2422
2020-04-09,2537
2020-04-10,2580
2020-04-11,2706
2020-04-12,2805
2020-04-13,2936
2020-04-14,3074
2020-04-15,3171
2020-04-16,3202
2020-04-17,3276
2020-04-18,3374
2020-04-19,3442
2020-04-20,3528
2020-04-21,3575
2020-04-22,3608
2020-04-23,3671
2020-04-24,3765
2020-04-25,3779
2020-04-26,3871
2020-04-27,3930
2020-04-28,3992
2020-04-29,4110
2020-04-30,4206
2020-05-01,4284
2020-05-02,4280
2020-05-03,4332
2020-05-04,4352
2020-05-05,4435
2020-05-06,4487
2020-05-07,4451
2020-05-08,4431
2020-05-09,4435
2020-05-10,4442
2020-05-11,4556
2020-05-12,4616
2020-05-13,4664
2020-05-14,4763
2020-05-15,4783
2020-05-16,4809
2020-05-17,4898
2020-05-18,4932
2020-05-19,5002
2020-05-20,5063
2020-05-21,5081
2020-05-22,5075
2020-05-23,5094
2020-05-24,5184
2020-05-25,5284
2020-05-26,5441
2020-05-27,5583
2020-05-28,5779
2020-05-29,6211
2020-05-30,6483
2020-05-31,6644
2020-06-01,6780
2020-06-02,6842
2020-06-03,7035
2020-06-04,7172
2020-06-05,7170
2020-06-06,7319
2020-06-07,7399
2020-06-08,7553
2020-06-09,7700
2020-06-10,7816
2020-06-11,7775
2020-06-12,7952
2020-06-13,8031
2020-06-14,8075
2020-06-15,8038
2020-06-16,8003
2020-06-17,8013
2020-06-18,8037
2020-06-19,8121
2020-06-20,8229
2020-06-21,8399
2020-06-22,8479
2020-06-23,8707
2020-06-24,8779
2020-06-25,9090
2020-06-26,9215
2020-06-27,9410
2020-06-28,9630
