date,confirmed_cases
2020-03-08,2
2020-03-09,11
2020-03-10,7
2020-03-11,10
2020-03-12,2
2020-03-13,8
2020-03-14,35
2020-03-15,22
2020-03-16,1
2020-03-17,36
2020-03-18,11
2020-03-19,12
2020-03-20,12
2020-03-21,53
2020-03-22,53
2020-03-23,64
2020-03-24,66
2020-03-25,60
2020-03-26,43
2020-03-27,73
2020-03-28,181
2020-03-29,240
2020-03-30,68
2020-03-31,383
2020-04-01,148
2020-04-02,216
2020-04-03,267
2020-04-04,44
2020-04-05,95
2020-04-06,282
2020-04-07,51
2020-04-08,69
2020-04-09,143
2020-04-10,62
2020-04-11,148
2020-04-12,133
2020-04-13,165
2020-04-14,179
2020-04-15,158
2020-04-16,97
2020-04-17,126
2020-04-18,127
2020-04-19,113
2020-04-20,124
2020-04-21,67
2020-04-22,60
2020-04-23,91
2020-04-24,125
2020-04-25,46
2020-04-26,140
2020-04-27,103
2020-04-28,108
2020-04-29,172
2020-04-30,121
2020-05-01,116
2020-05-02,46
2020-05-03,106
2020-05-04,107
2020-05-05,161
2020-05-06,137
2020-05-07,76
2020-05-08,65
2020-05-09,82
2020-05-10,79
2020-05-11,160
2020-05-12,145
2020-05-13,134
2020-05-14,169
2020-05-15,108
2020-05-16,109
2020-05-17,140
2020-05-18,99
2020-05-19,148
2020-05-20,127
2020-05-21,81
2020-05-22,88
2020-05-23,104
2020-05-24,152
2020-05-25,157
2020-05-26,212
2020-05-27,203
2020-05-28,265
2020-05-29,529
2020-05-30,340
2020-05-31,226
2020-06-01,176
2020-06-02,133
2020-06-03,224
2020-06-04,204
2020-06-05,44
2020-06-06,234
2020-06-07,151
2020-06-08,209
2020-06-09,192
2020-06-10,212
2020-06-11,163
2020-06-12,271
2020-06-13,259
2020-06-14,219
2020-06-15,183
2020-06-16,159
2020-06-17,171
2020-06-18,159
2020-06-19,257
2020-06-20,245
2020-06-21,215
2020-06-22,163
2020-06-23,398
2020-06-24,198
2020-06-25,421
2020-06-26,313
2020-06-27,282
2020-06-28,298
2020-06-29,414
2020-06-30,293
2020-07-01,301
2020-07-02,94
2020-07-03,479
2020-07-04,597
2020-07-05,872
2020-07-06,744
2020-07-07,741
2020-07-08,1092
2020-07-09,486
2020-07-10,553
2020-07-11,632
2020-07-12,884
2020-07-13,509
2020-07-14,333
2020-07-15,582
2020-07-16,1601
2020-07-17,952
2020-07-18,1548
2020-07-19,1425
2020-07-20,1137
2020-07-21,1317
2020-07-22,738
2020-07-23,1243
2020-07-24,1122
2020-07-25,954
2020-07-26,1091
2020-07-27,775
2020-07-28,617
2020-07-29,677
2020-07-30,1606
2020-07-31,2124
2020-08-01,2428
2020-08-02,2412
2020-08-03,1397
2020-08-04,2740
2020-08-05,2154
2020-08-06,1879
2020-08-07,1744
2020-08-08,2522
2020-08-09,1551
2020-08-10,3944
2020-08-11,1405
2020-08-12,2389
2020-08-13,2299
2020-08-14,3601
2020-08-15,2281
2020-08-16,1923
2020-08-17,1812
2020-08-18,2810
2020-08-19,2864
2020-08-20,2423
2020-08-21,2508
2020-08-22,2656
2020-08-23,946
2020-08-24,2365
2020-08-25,1503
2020-08-26,2974
2020-08-27,1495
2020-08-28,1988
2020-08-29,1904
2020-08-30,2100
2020-08-31,1796
2020-09-01,1720
2020-09-02,1106
2020-09-03,741
2020-09-04,1681
2020-09-05,1078
2020-09-06,1099
2020-09-07,483
2020-09-08,1339
2020-09-09,1406
2020-09-10,2083
2020-09-11,1746
2020-09-12,2524
2020-09-13,1413
2020-09-14,2427
2020-09-15,1681
2020-09-16,1535
2020-09-17,1214
2020-09-18,1265
2020-09-19,1398
