date,new_confirmed_cases,removed_cases,active_cases
2020-03-08,2,0,2
2020-03-09,11,0,13
2020-03-10,7,0,20
2020-03-11,10,1,29
2020-03-12,2,1,30
2020-03-13,8,0,38
2020-03-14,35,2,71
2020-03-15,22,3,90
2020-03-16,1,1,90
2020-03-17,36,1,125
2020-03-18,11,3,133
2020-03-19,12,0,145
2020-03-20,12,1,156
2020-03-21,53,5,204
2020-03-22,53,9,248
2020-03-23,64,8,304
2020-03-24,66,3,367
2020-03-25,60,7,420
2020-03-26,43,4,459
2020-03-27,73,9,523
2020-03-28,181,18,686
2020-03-29,240,8,918
2020-03-30,68,5,981
2020-03-31,383,14,1350
2020-04-01,148,9,1489
2020-04-02,216,11,1694
2020-04-03,267,16,1945
2020-04-04,44,9,1980
2020-04-05,95,10,2065
2020-04-06,282,15,2332
2020-04-07,51,19,2364
2020-04-08,69,11,2422
2020-04-09,143,28,2537
2020-04-10,62,19,2580
2020-04-11,148,22,2706
2020-04-12,133,34,2805
2020-04-13,165,34,2936
2020-04-14,179,41,3074
2020-04-15,158,61,3171
2020-04-16,97,66,3202
2020-04-17,126,52,3276
2020-04-18,127,29,3374
2020-04-19,113,45,3442
2020-04-20,124,38,3528
2020-04-21,67,20,3575
2020-04-22,60,27,3608
2020-04-23,91,28,3671
2020-04-24,125,31,3765
2020-04-25,46,32,3779
2020-04-26,140,48,3871
2020-04-27,103,44,3930
2020-04-28,108,46,3992
2020-04-29,172,54,4110
2020-04-30,121,25,4206
2020-05-01,116,38,4284
2020-05-02,46,50,4280
2020-05-03,106,54,4332
2020-05-04,107,87,4352
2020-05-05,161,78,4435
2020-05-06,137,85,4487
2020-05-07,76,112,4451
2020-05-08,65,85,4431
2020-05-09,82,78,4435
2020-05-10,79,72,4442
2020-05-11,160,46,4556
2020-05-12,145,85,4616
2020-05-13,134,86,4664
2020-05-14,169,70,4763
2020-05-15,108,88,4783
2020-05-16,109,83,4809
2020-05-17,140,51,4898
2020-05-18,99,65,4932
2020-05-19,148,78,5002
2020-05-20,127,66,5063
2020-05-21,81,63,5081
2020-05-22,88,94,5075
2020-05-23,104,85,5094
2020-05-24,152,62,5184
2020-05-25,157,57,5284
2020-05-26,212,55,5441
2020-05-27,203,61,5583
2020-05-28,265,69,5779
2020-05-29,529,97,6211
2020-05-30,340,68,6483
2020-05-31,226,65,6644
2020-06-01,176,40,6780
2020-06-02,133,71,6842
2020-06-03,224,31,7035
2020-06-04,204,67,7172
2020-06-05,44,46,7170
2020-06-06,234,85,7319
2020-06-07,151,71,7399
2020-06-08,209,55,7553
2020-06-09,192,45,7700
2020-06-10,212,96,7816
2020-06-11,163,204,7775
2020-06-12,271,94,7952
2020-06-13,259,180,8031
2020-06-14,219,175,8075
2020-06-15,183,220,8038
2020-06-16,159,194,8003
2020-06-17,171,161,8013
2020-06-18,159,135,8037
2020-06-19,257,173,8121
2020-06-20,245,137,8229
2020-06-21,215,45,8399
2020-06-22,163,83,8479
2020-06-23,398,170,8707
2020-06-24,198,126,8779
2020-06-25,421,110,9090
2020-06-26,313,188,9215
2020-06-27,282,87,9410
2020-06-28,298,78,9630
2020-06-29,414,138,9906
2020-06-30,293,66,10133
2020-07-01,301,147,10287
2020-07-02,94,138,10243
2020-07-03,479,150,10572
2020-07-04,597,112,11057
2020-07-05,872,96,11833
2020-07-06,744,110,12467
2020-07-07,741,95,13113
2020-07-08,1092,109,14096
2020-07-09,486,89,14493
2020-07-10,553,5,15041
2020-07-11,632,165,15508
2020-07-12,884,1004,15388
2020-07-13,509,2181,13716
2020-07-14,333,80,13969
2020-07-15,582,359,14192
2020-07-16,1601,304,15489
2020-07-17,952,224,16217
2020-07-18,1548,190,17575
2020-07-19,1425,151,18849
2020-07-20,1137,179,19807
2020-07-21,1317,34,21090
2020-07-22,738,201,21627
2020-07-23,1243,507,22363
2020-07-24,1122,77,23408
2020-07-25,954,40,24322
2020-07-26,1091,54,25359
2020-07-27,775,162,25972
2020-07-28,617,19,26570
2020-07-29,677,31,27216
2020-07-30,1606,16718,12104
2020-07-31,2124,69,14159
2020-08-01,2428,33,16554
2020-08-02,2412,79,18887
2020-08-03,1397,11,20273
2020-08-04,2740,21,22992
2020-08-05,2154,68,25078
2020-08-06,1879,133,26824
2020-08-07,1744,53,28515
2020-08-08,2522,101,30936
2020-08-09,1551,121,32366
2020-08-10,3944,130,36180
2020-08-11,1405,50,37535
2020-08-12,2389,249,39675
2020-08-13,2299,1023,40951
2020-08-14,3601,680,43872
2020-08-15,2281,395,45758
2020-08-16,1923,22173,25508
2020-08-17,1812,147,27173
2020-08-18,2810,113,29870
2020-08-19,2864,489,32245
2020-08-20,2423,413,34255
2020-08-21,2508,339,36424
2020-08-22,2656,269,38811
2020-08-23,946,8810,30947
2020-08-24,2365,385,32927
2020-08-25,1503,159,34271
2020-08-26,2974,721,36524
2020-08-27,1495,426,37593
2020-08-28,1988,276,39305
2020-08-29,1904,468,40741
2020-08-30,2100,12332,30509
2020-08-31,1796,92,32213
2020-09-01,1720,177,33756
2020-09-02,1106,237,34625
2020-09-03,741,414,34952
2020-09-04,1681,660,35973
2020-09-05,1078,624,36427
2020-09-06,1099,12445,25081
2020-09-07,483,60,25504
2020-09-08,1339,112,26731
2020-09-09,1406,166,27971
2020-09-10,2083,312,29742
2020-09-11,1746,187,31301
2020-09-12,2524,368,33457
2020-09-13,1413,10498,24372
2020-09-14,2427,187,26612
2020-09-15,1681,130,28163
2020-09-16,1535,185,29513
2020-09-17,1214,154,30573
2020-09-18,1265,207,31631
2020-09-19,1398,372,32657
2020-09-20,1266,9678,24245
2020-09-21,1203,118,25330
2020-09-22,539,209,25660
2020-09-23,1142,361,26441
2020-09-24,747,367,26821
2020-09-25,1021,294,27548
2020-09-26,1047,423,28172
2020-09-27,987,8730,20429
2020-09-28,1098,55,21472
2020-09-29,562,157,21877
2020-09-30,824,212,22489
2020-10-01,874,187,23176
2020-10-02,1017,205,23988
2020-10-03,996,189,24795
2020-10-04,1190,7674,18311
2020-10-05,772,53,19030
2020-10-06,504,105,19429
2020-10-07,947,274,20102
2020-10-08,811,371,20542
2020-10-09,1033,274,21301
2020-10-10,619,489,21431
2020-10-11,737,7012,15156
2020-10-12,1280,41,16395
2020-10-13,559,73,16881
2020-10-14,589,225,17245
2020-10-15,545,103,17687
2020-10-16,911,181,18417
2020-10-17,703,259,18861
2020-10-18,765,5457,14169
2020-10-19,742,64,14847
2020-10-20,374,172,15049
2020-10-21,356,481,14924
2020-10-22,463,310,15077
2020-10-23,472,181,15368
2020-10-24,538,115,15791
2020-10-25,540,4912,11419
2020-10-26,369,110,11678
2020-10-27,342,173,11847
2020-10-28,543,273,12117
2020-10-29,472,317,12272
2020-10-30,520,174,12618
2020-10-31,456,206,12868
2020-11-01,561,5112,8317
2020-11-02,600,20,8897
2020-11-03,386,25,9258
2020-11-04,208,27,9439
2020-11-05,551,71,9919
2020-11-06,509,74,10354
2020-11-07,535,65,10824
2020-11-08,632,3096,8360
2020-11-09,461,45,8776
2020-11-10,341,41,9076
2020-11-11,380,125,9331
2020-11-12,301,106,9526
2020-11-13,367,107,9786
2020-11-14,329,28,10087
2020-11-15,417,2977,7527
2020-11-16,334,12,7849
2020-11-17,219,29,8039
2020-11-18,330,59,8310
2020-11-19,292,58,8544
2020-11-20,348,118,8774
2020-11-21,310,209,8875
2020-11-22,497,2517,6855
2020-11-23,450,81,7224
2020-11-24,255,67,7412
