pca_group,metric_type,threshold,window,comparison,pearson_correlation,pearson_pvalue,r_squared,kendall_tau,kendall_pvalue,cohens_d,hodges_g
MSVFaceWearing&Others-0.5,Network Density,0.4,15day,Confirmed Cases,-0.14812631598664514,0.005359578683151235,0.021941405487775442,-0.23435761788505513,5.79043159485681e-10,0.5474461671674065,0.5468610804194541
MSVFaceWearing&Others-0.5,Network Density,0.4,15day,Active Cases,-0.22943037394733828,1.3781671733104993e-05,0.05263829648961548,-0.20281437915160525,8.143248723845452e-08,-2.350240062221206,-2.3477282274557396
MSVFaceWearing&Others-0.5,Network Density,0.5,30day,Confirmed Cases,-0.10625171993166269,0.05097316235590311,0.011289427988436485,-0.07151701050776561,0.09682056908384774,1.3872767064529181,1.3857324281154937
MSVFaceWearing&Others-0.5,Network Density,0.5,30day,Active Cases,-0.04004346784289481,0.4630966640554447,0.0016034793168849507,0.016063692776473848,0.7090887573069193,1.393383642190556,1.3918325657799544
MSVFaceWearing&Others-0.5,Network Density,0.6,30day,Confirmed Cases,-0.04444780352199503,0.415336611673267,0.001975607237929874,0.04610088445275575,0.2995910900475196,1.4464405312151636,1.4448303933325495
MSVFaceWearing&Others-0.5,Network Density,0.6,30day,Active Cases,-0.01742511484051422,0.7495791767219976,0.00030363462720510887,0.05842004257282702,0.18853866729083935,1.9346635485221004,1.9325099341823728
MSVFaceWearing&Others-0.5,Network Density,0.4,30day,Confirmed Cases,-0.1853793575169565,0.0006141931547050426,0.03436550619339958,-0.22249108028344247,2.9277986765439744e-08,1.1749601100108802,1.1736521766787718
MSVFaceWearing&Others-0.5,Network Density,0.4,30day,Active Cases,-0.11387318779451232,0.03638588188139846,0.012967102898484269,-0.12458591630954119,0.0018942105224660213,0.04259190338882434,0.04254449125147129
MSVFaceWearing&Others-0.5,Network Density,0.5,15day,Confirmed Cases,-0.1928437551182303,0.0002732536309646982,0.037188713888099974,-0.21459898383375503,3.387832437078988e-08,1.079526608958764,1.078372857684494
MSVFaceWearing&Others-0.5,Network Density,0.5,15day,Active Cases,-0.2609917972701307,6.850773630720303e-07,0.06811671824229301,-0.22384907203395896,8.40969939914485e-09,-0.29030642682882335,-0.2899961598959817
MSVFaceWearing&Others-0.5,Network Density,0.8,15day,Confirmed Cases,-0.034863731641637564,0.5144184558565487,0.0012154797839801204,-0.010324372100538765,0.8130665058209743,1.4177678691220426,1.4162526202416128
MSVFaceWearing&Others-0.5,Network Density,0.8,15day,Active Cases,-0.03195030614605174,0.5501994700168787,0.0010208220628264316,-0.016040727216293602,0.7132256125101204,1.927702958486803,1.9256427130733864
MSVFaceWearing&Others-0.5,Network Density,0.6,15day,Confirmed Cases,-0.14553914799421114,0.006230012791230876,0.021181643598880893,-0.13995099645906747,0.0007227255608187835,1.3148629853601244,1.313457716761592
MSVFaceWearing&Others-0.5,Network Density,0.6,15day,Active Cases,-0.13756518576618504,0.009764260460775416,0.018924180334885,-0.11036327162007635,0.0076537284457364975,1.0673556366200427,1.0662148931537583
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,15day,Confirmed Cases,-0.1353279988813051,0.011033072646289676,0.018313667281218513,-0.2040024988969635,2.715209072789937e-06,1.4010065748766285,1.3995092397413844
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.5,15day,Active Cases,-0.1900747366932732,0.00033555704427927057,0.036128405529017145,-0.23064267642667083,1.122316977485075e-07,1.777892886137665,1.7759927512397622
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.6,15day,Confirmed Cases,-0.05606953664486619,0.29415904898244816,0.003143792939569993,-0.06815345719271955,0.11852299682489081,1.4183824673896237,1.4168665616531901
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.6,15day,Active Cases,-0.09138127118976806,0.08690590740394584,0.008350536724257935,-0.10523610325408417,0.01590078905158176,1.9342707719512717,1.9322035071433437
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,30day,Confirmed Cases,-0.12293992422746108,0.023794502787911686,0.015114224969053873,-0.13559302603508466,0.0021409624616394256,1.4394684416147825,1.43786606487087
MSVFaceWearing&Others-0.5,Clustering Coefficient,0.4,30day,Active Cases,-0.07869019809354073,0.14885668831106635,0.006192147276000682,-0.09344150576788285,0.0343225177635044,1.8512256641998468,1.8491649306218878
